"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"focus","0","0","focusevent","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","pavlovia","0","12","0.0-0.0","","","","","","","","","","","","","","","","","",""
"blur","1","6268","blurevent","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","","","","","1","","","","","","","","","","","","","","","","",""
"focus","1","24602","focusevent","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"blur","1","39458","blurevent","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"focus","1","43321","focusevent","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","instructions","1","44383","0.0-1.0","","[{""page_index"":0,""viewing_time"":44367}]","44367","","","","","","","","","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","fullscreen","2","47111","0.0-2.0","","","","true","","","","","","","","","","","","","",""
"fullscreenexit","3","47687","fullscreenexit","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreenfail","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","image-keyboard-response","3","50903","0.0-3.0-0.0","","","3788","","","32","","","","","","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","instructions","4","194695","0.0-4.0","","[{""page_index"":0,""viewing_time"":41026},{""page_index"":1,""viewing_time"":57911},{""page_index"":2,""viewing_time"":26759},{""page_index"":3,""viewing_time"":215},{""page_index"":4,""viewing_time"":17625}]","143536","","","","","","","","","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","html-keyboard-response","5","195206","0.0-5.0-1.0","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","html-keyboard-response","6","196726","0.0-5.0-2.0","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw038.bmp","1","Match","e","1500","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","html-keyboard-response","7","200739","0.0-5.0-3.0","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","html-keyboard-response","8","206781","0.0-5.0-4.0","","","6040","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw038.bmp","1","Match","e","1500","trustrating_stim/white_mw038.bmp","green","Share","PRACTICE","1"
"","","","","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","html-keyboard-response","9","207318","0.0-5.0-5.0","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","html-keyboard-response","10","207831","0.0-5.0-1.1","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","html-keyboard-response","11","210840","0.0-5.0-2.1","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw013.bmp","0,1","Match","e","3000","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","html-keyboard-response","12","214855","0.0-5.0-3.1","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","html-keyboard-response","13","216053","0.0-5.0-4.1","","","1197","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw013.bmp","0,1","Match","e","3000","trustrating_stim/white_mw092.bmp","red","Keep","PRACTICE","1"
"","","","","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","html-keyboard-response","14","216559","0.0-5.0-5.1","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","html-keyboard-response","15","217070","0.0-5.0-1.2","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","html-keyboard-response","16","221583","0.0-5.0-2.2","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw042.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw003.bmp","1,0,1","noMatchOutcome","i","4500","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","html-keyboard-response","17","225592","0.0-5.0-3.2","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","html-keyboard-response","18","226941","0.0-5.0-4.2","","","1349","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw042.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw003.bmp","1,0,1","noMatchOutcome","i","4500","trustrating_stim/white_mw003.bmp","red","Keep","PRACTICE","0"
"","","","","632aaef27780d596dc7e0a9f","bdp_wmem","Fri Mar 10 2023 21:10:06 GMT-0600 (Central Standard Time)","712669","Match,No Match","html-keyboard-response","19","227452","0.0-5.0-5.2","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
