"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr","numBlurs"
"pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","901","0.0-1.0","[{""page_index"":0,""viewing_time"":898}]","898","","","","","","","","","","","","","","","","","","","",""
"","","","","","","fullscreenenter","2","2529","fullscreenenter","","","","","","","","","","","","","","","",""
"fullscreen","2","3514","0.0-2.0","","","","","","","true","","","","","","","","","","","","","","",""
"instructions","3","32241","0.0-4.0","[{""page_index"":0,""viewing_time"":6307},{""page_index"":1,""viewing_time"":3258},{""page_index"":2,""viewing_time"":3979},{""page_index"":1,""viewing_time"":3161},{""page_index"":2,""viewing_time"":8858},{""page_index"":3,""viewing_time"":1819},{""page_index"":4,""viewing_time"":1344}]","28726","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","32746","0.0-5.0-1.0","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"html-keyboard-response","5","35749","0.0-5.0-2.0","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw013.bmp","1,0","noMatchOutcome","i","3000","","","","","",""
"html-keyboard-response","6","39755","0.0-5.0-3.0","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","7","41892","0.0-5.0-4.0","","2135","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw013.bmp","1,0","noMatchOutcome","i","3000","trustrating_stim/white_mw003.bmp","red","Keep","PRACTICE","0",""
"html-keyboard-response","8","42394","0.0-5.0-5.0","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"html-keyboard-response","9","42901","0.0-5.0-1.1","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
