"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr","numBlurs"
"focus","0","0","focusevent","62b500cfbf7d382239502ad0","bdp_wmem","Tue Mar 14 2023 04:21:13 GMT (Coordinated Universal Time)","540141","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","62b500cfbf7d382239502ad0","bdp_wmem","Tue Mar 14 2023 04:21:13 GMT (Coordinated Universal Time)","540141","Match,No Match","pavlovia","0","19","0.0-0.0","","","","","","","","","","","","","","","","","",""
"","","","","62b500cfbf7d382239502ad0","bdp_wmem","Tue Mar 14 2023 04:21:13 GMT (Coordinated Universal Time)","540141","Match,No Match","instructions","1","4288","0.0-1.0","[{""page_index"":0,""viewing_time"":4268}]","4268","","","","","","","","","","","","","","","",""
"fullscreenexit","2","10108","fullscreenexit","62b500cfbf7d382239502ad0","bdp_wmem","Tue Mar 14 2023 04:21:13 GMT (Coordinated Universal Time)","540141","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","62b500cfbf7d382239502ad0","bdp_wmem","Tue Mar 14 2023 04:21:13 GMT (Coordinated Universal Time)","540141","Match,No Match","fullscreen","2","10823","0.0-2.0","","","true","","","","","","","","","","","","","","",""
"","","","fullscreenfail","62b500cfbf7d382239502ad0","bdp_wmem","Tue Mar 14 2023 04:21:13 GMT (Coordinated Universal Time)","540141","Match,No Match","image-keyboard-response","3","13039","0.0-3.0-0.0","","2208","","","32","","","","","","","","","","","","",""
"","","","","62b500cfbf7d382239502ad0","bdp_wmem","Tue Mar 14 2023 04:21:13 GMT (Coordinated Universal Time)","540141","Match,No Match","instructions","4","16380","0.0-4.0","[{""page_index"":0,""viewing_time"":907},{""page_index"":1,""viewing_time"":499},{""page_index"":2,""viewing_time"":450},{""page_index"":3,""viewing_time"":462},{""page_index"":4,""viewing_time"":756}]","3074","","","","","","","","","","","","","","","",""
"","","","","62b500cfbf7d382239502ad0","bdp_wmem","Tue Mar 14 2023 04:21:13 GMT (Coordinated Universal Time)","540141","Match,No Match","html-keyboard-response","5","16897","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"","","","","62b500cfbf7d382239502ad0","bdp_wmem","Tue Mar 14 2023 04:21:13 GMT (Coordinated Universal Time)","540141","Match,No Match","html-keyboard-response","6","21403","0.0-5.0-2.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw013.bmp","0,1,0","Match","e","4500","","","","","",""
"","","","","62b500cfbf7d382239502ad0","bdp_wmem","Tue Mar 14 2023 04:21:13 GMT (Coordinated Universal Time)","540141","Match,No Match","html-keyboard-response","7","25420","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"","","","","62b500cfbf7d382239502ad0","bdp_wmem","Tue Mar 14 2023 04:21:13 GMT (Coordinated Universal Time)","540141","Match,No Match","html-keyboard-response","8","27190","0.0-5.0-4.0","","1763","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw013.bmp","0,1,0","Match","e","4500","trustrating_stim/white_mw012.bmp","red","Keep","PRACTICE","1",""
"","","","","62b500cfbf7d382239502ad0","bdp_wmem","Tue Mar 14 2023 04:21:13 GMT (Coordinated Universal Time)","540141","Match,No Match","html-keyboard-response","9","27695","0.0-5.0-5.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"","","","","62b500cfbf7d382239502ad0","bdp_wmem","Tue Mar 14 2023 04:21:13 GMT (Coordinated Universal Time)","540141","Match,No Match","html-keyboard-response","10","28198","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"","","","","62b500cfbf7d382239502ad0","bdp_wmem","Tue Mar 14 2023 04:21:13 GMT (Coordinated Universal Time)","540141","Match,No Match","html-keyboard-response","11","29706","0.0-5.0-2.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw040.bmp","0","noMatchFace","i","1500","","","","","",""
"","","","","62b500cfbf7d382239502ad0","bdp_wmem","Tue Mar 14 2023 04:21:13 GMT (Coordinated Universal Time)","540141","Match,No Match","html-keyboard-response","12","33722","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"","","","","62b500cfbf7d382239502ad0","bdp_wmem","Tue Mar 14 2023 04:21:13 GMT (Coordinated Universal Time)","540141","Match,No Match","html-keyboard-response","13","35704","0.0-5.0-4.1","","1980","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw040.bmp","0","noMatchFace","i","1500","trustrating_stim/white_mw091.bmp","red","Keep","PRACTICE","1",""
