"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","3","0.0-0.0","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"","","","","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","focus","1","3476","focusevent","","","","","","","","","","","","","","","","",""
"instructions","1","12922","0.0-1.0","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","[{""page_index"":0,""viewing_time"":12918}]","12918","","","","","","","","","","","","","","",""
"","","","","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","fullscreenexit","2","15424","fullscreenexit","","","","","","","","","","","","","","","","",""
"fullscreen","2","16415","0.0-2.0","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","","true","","","","","","","","","","","","","",""
"image-keyboard-response","3","16884","0.0-3.0-0.0","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","fullscreenfail","","468","","","32","","","","","","","","","","","",""
"instructions","4","99468","0.0-4.0","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","[{""page_index"":0,""viewing_time"":22729},{""page_index"":1,""viewing_time"":32718},{""page_index"":2,""viewing_time"":17330},{""page_index"":3,""viewing_time"":4248},{""page_index"":4,""viewing_time"":5288}]","82313","","","","","","","","","","","","","","",""
"html-keyboard-response","5","99975","0.0-5.0-1.0","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","6","102984","0.0-5.0-2.0","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw012.bmp","1,0","Match","e","3000","","","","",""
"html-keyboard-response","7","106998","0.0-5.0-3.0","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","8","107548","0.0-5.0-4.0","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","548","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw012.bmp","1,0","Match","e","3000","trustrating_stim/white_mw085.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","9","108055","0.0-5.0-5.0","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","10","108557","0.0-5.0-1.1","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","11","110060","0.0-5.0-2.1","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw091.bmp","0","noMatchFace","i","1500","","","","",""
"html-keyboard-response","12","114074","0.0-5.0-3.1","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","13","114706","0.0-5.0-4.1","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","631","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw091.bmp","0","noMatchFace","i","1500","trustrating_stim/white_mw010.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","14","115210","0.0-5.0-5.1","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","15","115711","0.0-5.0-1.2","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","16","117216","0.0-5.0-2.2","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw040.bmp","1","Match","e","1500","","","","",""
"html-keyboard-response","17","121229","0.0-5.0-3.2","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
