"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","2","0.0-0.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:20:15 GMT-0400 (Eastern Daylight Time)","1067289","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:20:15 GMT-0400 (Eastern Daylight Time)","1067289","Match,No Match","blur","1","9921","blurevent","1","","","","","","","","","","","","","","","","",""
"","","","","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:20:15 GMT-0400 (Eastern Daylight Time)","1067289","Match,No Match","focus","1","12724","focusevent","","","","","","","","","","","","","","","","","",""
"","","","","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:20:15 GMT-0400 (Eastern Daylight Time)","1067289","Match,No Match","blur","1","17501","blurevent","","","","","","","","","","","","","","","","","",""
"","","","","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:20:15 GMT-0400 (Eastern Daylight Time)","1067289","Match,No Match","focus","1","961116","focusevent","","","","","","","","","","","","","","","","","",""
"instructions","1","964407","0.0-1.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:20:15 GMT-0400 (Eastern Daylight Time)","1067289","Match,No Match","","","","","","[{""page_index"":0,""viewing_time"":964405}]","964405","","","","","","","","","","","","","","",""
"","","","","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:20:15 GMT-0400 (Eastern Daylight Time)","1067289","Match,No Match","fullscreenenter","2","966383","fullscreenenter","","","","","","","","","","","","","","","","","",""
"fullscreen","2","967364","0.0-2.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:20:15 GMT-0400 (Eastern Daylight Time)","1067289","Match,No Match","","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","972428","0.0-4.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:20:15 GMT-0400 (Eastern Daylight Time)","1067289","Match,No Match","","","","","","[{""page_index"":0,""viewing_time"":1064},{""page_index"":1,""viewing_time"":592},{""page_index"":2,""viewing_time"":360},{""page_index"":3,""viewing_time"":322},{""page_index"":4,""viewing_time"":2724}]","5062","","","","","","","","","","","","","","",""
"html-keyboard-response","4","972931","0.0-5.0-1.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:20:15 GMT-0400 (Eastern Daylight Time)","1067289","Match,No Match","","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
