"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"focus","0","0","focusevent","63f78c9346da47f7f8f3aef9","bdp_wmem","Sat Apr 08 2023 09:44:59 GMT-0600 (Mountain Daylight Time)","544828","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_wmem","Sat Apr 08 2023 09:44:59 GMT-0600 (Mountain Daylight Time)","544828","Match,No Match","pavlovia","0","6","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_wmem","Sat Apr 08 2023 09:44:59 GMT-0600 (Mountain Daylight Time)","544828","Match,No Match","instructions","1","1872","0.0-1.0","[{""page_index"":0,""viewing_time"":1866}]","1866","","","","","","","","","","","","","","",""
"fullscreenexit","2","4587","fullscreenexit","63f78c9346da47f7f8f3aef9","bdp_wmem","Sat Apr 08 2023 09:44:59 GMT-0600 (Mountain Daylight Time)","544828","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_wmem","Sat Apr 08 2023 09:44:59 GMT-0600 (Mountain Daylight Time)","544828","Match,No Match","fullscreen","2","5405","0.0-2.0","","","true","","","","","","","","","","","","","",""
"","","","fullscreenfail","63f78c9346da47f7f8f3aef9","bdp_wmem","Sat Apr 08 2023 09:44:59 GMT-0600 (Mountain Daylight Time)","544828","Match,No Match","image-keyboard-response","3","6642","0.0-3.0-0.0","","1231","","","32","","","","","","","","","","","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_wmem","Sat Apr 08 2023 09:44:59 GMT-0600 (Mountain Daylight Time)","544828","Match,No Match","instructions","4","44505","0.0-4.0","[{""page_index"":0,""viewing_time"":11065},{""page_index"":1,""viewing_time"":18408},{""page_index"":2,""viewing_time"":4255},{""page_index"":3,""viewing_time"":1711},{""page_index"":4,""viewing_time"":2169}]","37609","","","","","","","","","","","","","","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_wmem","Sat Apr 08 2023 09:44:59 GMT-0600 (Mountain Daylight Time)","544828","Match,No Match","html-keyboard-response","5","45012","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_wmem","Sat Apr 08 2023 09:44:59 GMT-0600 (Mountain Daylight Time)","544828","Match,No Match","html-keyboard-response","6","48028","0.0-5.0-2.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw092.bmp","1,0","Match","e","3000","","","","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_wmem","Sat Apr 08 2023 09:44:59 GMT-0600 (Mountain Daylight Time)","544828","Match,No Match","html-keyboard-response","7","52039","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
