"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"focus","0","0","focusevent","63b82398bbe6a599972413ad","bdp_wmem","Mon Mar 13 2023 15:20:48 GMT-0400 (Eastern Daylight Time)","762627","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","63b82398bbe6a599972413ad","bdp_wmem","Mon Mar 13 2023 15:20:48 GMT-0400 (Eastern Daylight Time)","762627","Match,No Match","pavlovia","0","3","0.0-0.0","","","","","","","","","","","","","","","","","",""
"blur","1","2884","blurevent","63b82398bbe6a599972413ad","bdp_wmem","Mon Mar 13 2023 15:20:48 GMT-0400 (Eastern Daylight Time)","762627","Match,No Match","","","","","1","","","","","","","","","","","","","","","","",""
"focus","1","92700","focusevent","63b82398bbe6a599972413ad","bdp_wmem","Mon Mar 13 2023 15:20:48 GMT-0400 (Eastern Daylight Time)","762627","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","63b82398bbe6a599972413ad","bdp_wmem","Mon Mar 13 2023 15:20:48 GMT-0400 (Eastern Daylight Time)","762627","Match,No Match","instructions","1","95150","0.0-1.0","","[{""page_index"":0,""viewing_time"":95145}]","95146","","","","","","","","","","","","","","",""
"fullscreenexit","2","99041","fullscreenexit","63b82398bbe6a599972413ad","bdp_wmem","Mon Mar 13 2023 15:20:48 GMT-0400 (Eastern Daylight Time)","762627","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","63b82398bbe6a599972413ad","bdp_wmem","Mon Mar 13 2023 15:20:48 GMT-0400 (Eastern Daylight Time)","762627","Match,No Match","fullscreen","2","99816","0.0-2.0","","","","true","","","","","","","","","","","","","",""
"","","","fullscreenfail","63b82398bbe6a599972413ad","bdp_wmem","Mon Mar 13 2023 15:20:48 GMT-0400 (Eastern Daylight Time)","762627","Match,No Match","image-keyboard-response","3","101467","0.0-3.0-0.0","","","1648","","","32","","","","","","","","","","","",""
"","","","","63b82398bbe6a599972413ad","bdp_wmem","Mon Mar 13 2023 15:20:48 GMT-0400 (Eastern Daylight Time)","762627","Match,No Match","instructions","4","209952","0.0-4.0","","[{""page_index"":0,""viewing_time"":23519},{""page_index"":1,""viewing_time"":37178},{""page_index"":2,""viewing_time"":16463},{""page_index"":3,""viewing_time"":19386},{""page_index"":4,""viewing_time"":11683}]","108229","","","","","","","","","","","","","","",""
"","","","","63b82398bbe6a599972413ad","bdp_wmem","Mon Mar 13 2023 15:20:48 GMT-0400 (Eastern Daylight Time)","762627","Match,No Match","html-keyboard-response","5","210470","0.0-5.0-1.0","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
