"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","181","458325","0.0-7.0-2.29","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw085.bmp","1,1,0","noMatchOutcome","i","4500","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","182","462333","0.0-7.0-3.29","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","183","464576","0.0-7.0-4.29","","2242","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw085.bmp","1,1,0","noMatchOutcome","i","4500","trustrating_stim/white_mw085.bmp","green","Share","REAL","0"
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","184","465086","0.0-7.0-5.29","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","185","465592","0.0-7.0-1.30","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","186","468598","0.0-7.0-2.30","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw040.bmp","1,0","Match","e","3000","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","187","472606","0.0-7.0-3.30","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","188","474456","0.0-7.0-4.30","","1848","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw040.bmp","1,0","Match","e","3000","trustrating_stim/white_mw040.bmp","red","Keep","REAL","1"
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","189","474958","0.0-7.0-5.30","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","190","475462","0.0-7.0-1.31","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
