"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","5","0.0-0.0","5d63f9cd26a2ac001758c70d","bdp_wmem","Thu Jul 28 2022 00:16:53 GMT-0400 (Eastern Daylight Time)","991808","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","3754","0.0-1.0","5d63f9cd26a2ac001758c70d","bdp_wmem","Thu Jul 28 2022 00:16:53 GMT-0400 (Eastern Daylight Time)","991808","Match,No Match","[{""page_index"":0,""viewing_time"":3748}]","3748","","","","","","","","","","","","","","","","","","","",""
"","","","","5d63f9cd26a2ac001758c70d","bdp_wmem","Thu Jul 28 2022 00:16:53 GMT-0400 (Eastern Daylight Time)","991808","Match,No Match","","","blur","2","17878","blurevent","1","","","","","","","","","","","","","","",""
"","","","","5d63f9cd26a2ac001758c70d","bdp_wmem","Thu Jul 28 2022 00:16:53 GMT-0400 (Eastern Daylight Time)","991808","Match,No Match","","","focus","2","60762","focusevent","","","","","","","","","","","","","","","",""
"","","","","5d63f9cd26a2ac001758c70d","bdp_wmem","Thu Jul 28 2022 00:16:53 GMT-0400 (Eastern Daylight Time)","991808","Match,No Match","","","blur","2","64474","blurevent","","","","","","","","","","","","","","","",""
"","","","","5d63f9cd26a2ac001758c70d","bdp_wmem","Thu Jul 28 2022 00:16:53 GMT-0400 (Eastern Daylight Time)","991808","Match,No Match","","","focus","2","112026","focusevent","","","","","","","","","","","","","","","",""
"","","","","5d63f9cd26a2ac001758c70d","bdp_wmem","Thu Jul 28 2022 00:16:53 GMT-0400 (Eastern Daylight Time)","991808","Match,No Match","","","fullscreenenter","2","113927","fullscreenenter","","","","","","","","","","","","","","","",""
"fullscreen","2","114910","0.0-2.0","5d63f9cd26a2ac001758c70d","bdp_wmem","Thu Jul 28 2022 00:16:53 GMT-0400 (Eastern Daylight Time)","991808","Match,No Match","","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","142880","0.0-4.0","5d63f9cd26a2ac001758c70d","bdp_wmem","Thu Jul 28 2022 00:16:53 GMT-0400 (Eastern Daylight Time)","991808","Match,No Match","[{""page_index"":0,""viewing_time"":8133},{""page_index"":1,""viewing_time"":13008},{""page_index"":2,""viewing_time"":5232},{""page_index"":3,""viewing_time"":992},{""page_index"":4,""viewing_time"":600}]","27965","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","143384","0.0-5.0-1.0","5d63f9cd26a2ac001758c70d","bdp_wmem","Thu Jul 28 2022 00:16:53 GMT-0400 (Eastern Daylight Time)","991808","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","144887","0.0-5.0-2.0","5d63f9cd26a2ac001758c70d","bdp_wmem","Thu Jul 28 2022 00:16:53 GMT-0400 (Eastern Daylight Time)","991808","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw010.bmp","0","noMatchFace","i","1500","","","","",""
"html-keyboard-response","6","148888","0.0-5.0-3.0","5d63f9cd26a2ac001758c70d","bdp_wmem","Thu Jul 28 2022 00:16:53 GMT-0400 (Eastern Daylight Time)","991808","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","148936","0.0-5.0-4.0","5d63f9cd26a2ac001758c70d","bdp_wmem","Thu Jul 28 2022 00:16:53 GMT-0400 (Eastern Daylight Time)","991808","Match,No Match","","46","","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw010.bmp","0","noMatchFace","i","1500","trustrating_stim/white_mw085.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","8","149439","0.0-5.0-5.0","5d63f9cd26a2ac001758c70d","bdp_wmem","Thu Jul 28 2022 00:16:53 GMT-0400 (Eastern Daylight Time)","991808","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
