"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"","","","","","6276b88b3b4036b3f0ca289b","bdp_wmem","Wed Mar 15 2023 21:05:50 GMT-0700 (Pacific Daylight Time)","666494","Match,No Match","html-keyboard-response","264","646749","0.0-7.0-5.45","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","","6276b88b3b4036b3f0ca289b","bdp_wmem","Wed Mar 15 2023 21:05:50 GMT-0700 (Pacific Daylight Time)","666494","Match,No Match","html-keyboard-response","265","647250","0.0-7.0-1.46","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","","6276b88b3b4036b3f0ca289b","bdp_wmem","Wed Mar 15 2023 21:05:50 GMT-0700 (Pacific Daylight Time)","666494","Match,No Match","html-keyboard-response","266","651752","0.0-7.0-2.46","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw091.bmp","0,0,1","noMatchOutcome","i","4500","","","","",""
"","","","","","6276b88b3b4036b3f0ca289b","bdp_wmem","Wed Mar 15 2023 21:05:50 GMT-0700 (Pacific Daylight Time)","666494","Match,No Match","html-keyboard-response","267","655753","0.0-7.0-3.46","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","","6276b88b3b4036b3f0ca289b","bdp_wmem","Wed Mar 15 2023 21:05:50 GMT-0700 (Pacific Daylight Time)","666494","Match,No Match","html-keyboard-response","268","657248","0.0-7.0-4.46","","1494","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw091.bmp","0,0,1","noMatchOutcome","i","4500","trustrating_stim/white_mw092.bmp","green","Share","REAL","0"
"","","","","","6276b88b3b4036b3f0ca289b","bdp_wmem","Wed Mar 15 2023 21:05:50 GMT-0700 (Pacific Daylight Time)","666494","Match,No Match","html-keyboard-response","269","657749","0.0-7.0-5.46","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","","6276b88b3b4036b3f0ca289b","bdp_wmem","Wed Mar 15 2023 21:05:50 GMT-0700 (Pacific Daylight Time)","666494","Match,No Match","html-keyboard-response","270","658251","0.0-7.0-1.47","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","","6276b88b3b4036b3f0ca289b","bdp_wmem","Wed Mar 15 2023 21:05:50 GMT-0700 (Pacific Daylight Time)","666494","Match,No Match","html-keyboard-response","271","659752","0.0-7.0-2.47","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw078.bmp","1","noMatchOutcome","i","1500","","","","",""
"","","","","","6276b88b3b4036b3f0ca289b","bdp_wmem","Wed Mar 15 2023 21:05:50 GMT-0700 (Pacific Daylight Time)","666494","Match,No Match","html-keyboard-response","272","663753","0.0-7.0-3.47","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","","6276b88b3b4036b3f0ca289b","bdp_wmem","Wed Mar 15 2023 21:05:50 GMT-0700 (Pacific Daylight Time)","666494","Match,No Match","html-keyboard-response","273","664991","0.0-7.0-4.47","","1237","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw078.bmp","1","noMatchOutcome","i","1500","trustrating_stim/white_mw078.bmp","red","Keep","REAL","1"
"","","","","","6276b88b3b4036b3f0ca289b","bdp_wmem","Wed Mar 15 2023 21:05:50 GMT-0700 (Pacific Daylight Time)","666494","Match,No Match","html-keyboard-response","274","665492","0.0-7.0-5.47","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"fullscreenexit","275","665520","fullscreenexit","","6276b88b3b4036b3f0ca289b","bdp_wmem","Wed Mar 15 2023 21:05:50 GMT-0700 (Pacific Daylight Time)","666494","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"","","","","","6276b88b3b4036b3f0ca289b","bdp_wmem","Wed Mar 15 2023 21:05:50 GMT-0700 (Pacific Daylight Time)","666494","Match,No Match","fullscreen","275","666494","0.0-8.0","","","true","","","","","","","","","","","","","",""
"","","","","","","","","","","html-keyboard-response","276","666996","0.0-9.0","","null","","","null","","","","","","","","","","","",""
