"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_wmem","Sat Apr 08 2023 12:22:21 GMT-0400 (Eastern Daylight Time)","529759","Match,No Match","html-keyboard-response","144","292654","0.0-7.0-4.21","","608","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw012.bmp","1","Match","e","1500","trustrating_stim/white_mw012.bmp","green","Share","REAL","1"
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_wmem","Sat Apr 08 2023 12:22:21 GMT-0400 (Eastern Daylight Time)","529759","Match,No Match","html-keyboard-response","145","293162","0.0-7.0-5.21","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_wmem","Sat Apr 08 2023 12:22:21 GMT-0400 (Eastern Daylight Time)","529759","Match,No Match","html-keyboard-response","146","293673","0.0-7.0-1.22","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_wmem","Sat Apr 08 2023 12:22:21 GMT-0400 (Eastern Daylight Time)","529759","Match,No Match","html-keyboard-response","147","298174","0.0-7.0-2.22","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw012.bmp","0,0,1","Match","e","4500","","","","",""
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_wmem","Sat Apr 08 2023 12:22:21 GMT-0400 (Eastern Daylight Time)","529759","Match,No Match","html-keyboard-response","148","302177","0.0-7.0-3.22","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_wmem","Sat Apr 08 2023 12:22:21 GMT-0400 (Eastern Daylight Time)","529759","Match,No Match","html-keyboard-response","149","303521","0.0-7.0-4.22","","1344","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw012.bmp","0,0,1","Match","e","4500","trustrating_stim/white_mw012.bmp","green","Share","REAL","1"
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_wmem","Sat Apr 08 2023 12:22:21 GMT-0400 (Eastern Daylight Time)","529759","Match,No Match","html-keyboard-response","150","304035","0.0-7.0-5.22","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_wmem","Sat Apr 08 2023 12:22:21 GMT-0400 (Eastern Daylight Time)","529759","Match,No Match","html-keyboard-response","151","304545","0.0-7.0-1.23","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_wmem","Sat Apr 08 2023 12:22:21 GMT-0400 (Eastern Daylight Time)","529759","Match,No Match","html-keyboard-response","152","309049","0.0-7.0-2.23","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw085.bmp","0,0,1","Match","e","4500","","","","",""
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_wmem","Sat Apr 08 2023 12:22:21 GMT-0400 (Eastern Daylight Time)","529759","Match,No Match","html-keyboard-response","153","313058","0.0-7.0-3.23","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
