"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"focus","0","0","focusevent","63d13b5ec81c77c3030c51c5","bdp_wmem","Tue Mar 14 2023 21:24:10 GMT-0400 (Eastern Daylight Time)","508224","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","63d13b5ec81c77c3030c51c5","bdp_wmem","Tue Mar 14 2023 21:24:10 GMT-0400 (Eastern Daylight Time)","508224","Match,No Match","1","","","","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","63d13b5ec81c77c3030c51c5","bdp_wmem","Tue Mar 14 2023 21:24:10 GMT-0400 (Eastern Daylight Time)","508224","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","63d13b5ec81c77c3030c51c5","bdp_wmem","Tue Mar 14 2023 21:24:10 GMT-0400 (Eastern Daylight Time)","508224","Match,No Match","","pavlovia","0","7","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","63d13b5ec81c77c3030c51c5","bdp_wmem","Tue Mar 14 2023 21:24:10 GMT-0400 (Eastern Daylight Time)","508224","Match,No Match","","instructions","1","1312","0.0-1.0","[{""page_index"":0,""viewing_time"":1304}]","1305","","","","","","","","","","","","","","",""
"fullscreenexit","2","4412","fullscreenexit","63d13b5ec81c77c3030c51c5","bdp_wmem","Tue Mar 14 2023 21:24:10 GMT-0400 (Eastern Daylight Time)","508224","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","63d13b5ec81c77c3030c51c5","bdp_wmem","Tue Mar 14 2023 21:24:10 GMT-0400 (Eastern Daylight Time)","508224","Match,No Match","","fullscreen","2","5149","0.0-2.0","","","true","","","","","","","","","","","","","",""
"","","","fullscreenfail","63d13b5ec81c77c3030c51c5","bdp_wmem","Tue Mar 14 2023 21:24:10 GMT-0400 (Eastern Daylight Time)","508224","Match,No Match","","image-keyboard-response","3","6094","0.0-3.0-0.0","","941","","","32","","","","","","","","","","","",""
"","","","","63d13b5ec81c77c3030c51c5","bdp_wmem","Tue Mar 14 2023 21:24:10 GMT-0400 (Eastern Daylight Time)","508224","Match,No Match","","instructions","4","13445","0.0-4.0","[{""page_index"":0,""viewing_time"":1877},{""page_index"":1,""viewing_time"":1026},{""page_index"":2,""viewing_time"":634},{""page_index"":3,""viewing_time"":967},{""page_index"":4,""viewing_time"":2584}]","7088","","","","","","","","","","","","","","",""
"","","","","63d13b5ec81c77c3030c51c5","bdp_wmem","Tue Mar 14 2023 21:24:10 GMT-0400 (Eastern Daylight Time)","508224","Match,No Match","","html-keyboard-response","5","13952","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","63d13b5ec81c77c3030c51c5","bdp_wmem","Tue Mar 14 2023 21:24:10 GMT-0400 (Eastern Daylight Time)","508224","Match,No Match","","html-keyboard-response","6","18457","0.0-5.0-2.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw078.bmp","1,0,1","Match","e","4500","","","","",""
"","","","","63d13b5ec81c77c3030c51c5","bdp_wmem","Tue Mar 14 2023 21:24:10 GMT-0400 (Eastern Daylight Time)","508224","Match,No Match","","html-keyboard-response","7","22464","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","63d13b5ec81c77c3030c51c5","bdp_wmem","Tue Mar 14 2023 21:24:10 GMT-0400 (Eastern Daylight Time)","508224","Match,No Match","","html-keyboard-response","8","23909","0.0-5.0-4.0","","1443","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw078.bmp","1,0,1","Match","e","4500","trustrating_stim/white_mw091.bmp","red","Keep","PRACTICE","1"
"","","","","63d13b5ec81c77c3030c51c5","bdp_wmem","Tue Mar 14 2023 21:24:10 GMT-0400 (Eastern Daylight Time)","508224","Match,No Match","","html-keyboard-response","9","24426","0.0-5.0-5.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
