"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","8","0.0-0.0","5f934f7fdc89a111b5712011","bdp_wmem","Tue Mar 14 2023 20:45:51 GMT-0400 (Eastern Daylight Time)","572079","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","5f934f7fdc89a111b5712011","bdp_wmem","Tue Mar 14 2023 20:45:51 GMT-0400 (Eastern Daylight Time)","572079","Match,No Match","blur","1","440","blurevent","1","","","","","","","","","","","","","","","","",""
"","","","","5f934f7fdc89a111b5712011","bdp_wmem","Tue Mar 14 2023 20:45:51 GMT-0400 (Eastern Daylight Time)","572079","Match,No Match","focus","1","2829","focusevent","","","","","","","","","","","","","","","","","",""
"instructions","1","4392","0.0-1.0","5f934f7fdc89a111b5712011","bdp_wmem","Tue Mar 14 2023 20:45:51 GMT-0400 (Eastern Daylight Time)","572079","Match,No Match","","","","","","[{""page_index"":0,""viewing_time"":4382}]","4383","","","","","","","","","","","","","","",""
"","","","","5f934f7fdc89a111b5712011","bdp_wmem","Tue Mar 14 2023 20:45:51 GMT-0400 (Eastern Daylight Time)","572079","Match,No Match","fullscreenenter","2","6244","fullscreenenter","","","","","","","","","","","","","","","","","",""
"fullscreen","2","7234","0.0-2.0","5f934f7fdc89a111b5712011","bdp_wmem","Tue Mar 14 2023 20:45:51 GMT-0400 (Eastern Daylight Time)","572079","Match,No Match","","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","40575","0.0-4.0","5f934f7fdc89a111b5712011","bdp_wmem","Tue Mar 14 2023 20:45:51 GMT-0400 (Eastern Daylight Time)","572079","Match,No Match","","","","","","[{""page_index"":0,""viewing_time"":7918},{""page_index"":1,""viewing_time"":14685},{""page_index"":2,""viewing_time"":3049},{""page_index"":3,""viewing_time"":4155},{""page_index"":4,""viewing_time"":3531}]","33339","","","","","","","","","","","","","","",""
"html-keyboard-response","4","41086","0.0-5.0-1.0","5f934f7fdc89a111b5712011","bdp_wmem","Tue Mar 14 2023 20:45:51 GMT-0400 (Eastern Daylight Time)","572079","Match,No Match","","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","45597","0.0-5.0-2.0","5f934f7fdc89a111b5712011","bdp_wmem","Tue Mar 14 2023 20:45:51 GMT-0400 (Eastern Daylight Time)","572079","Match,No Match","","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw042.bmp,trustrating_stim/white_mw003.bmp","1,1,0","Match","e","4500","","","","",""
"html-keyboard-response","6","49602","0.0-5.0-3.0","5f934f7fdc89a111b5712011","bdp_wmem","Tue Mar 14 2023 20:45:51 GMT-0400 (Eastern Daylight Time)","572079","Match,No Match","","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","50750","0.0-5.0-4.0","5f934f7fdc89a111b5712011","bdp_wmem","Tue Mar 14 2023 20:45:51 GMT-0400 (Eastern Daylight Time)","572079","Match,No Match","","","","","","","1146","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw042.bmp,trustrating_stim/white_mw003.bmp","1,1,0","Match","e","4500","trustrating_stim/white_mw042.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","8","51261","0.0-5.0-5.0","5f934f7fdc89a111b5712011","bdp_wmem","Tue Mar 14 2023 20:45:51 GMT-0400 (Eastern Daylight Time)","572079","Match,No Match","","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","9","51773","0.0-5.0-1.1","5f934f7fdc89a111b5712011","bdp_wmem","Tue Mar 14 2023 20:45:51 GMT-0400 (Eastern Daylight Time)","572079","Match,No Match","","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","10","54781","0.0-5.0-2.1","5f934f7fdc89a111b5712011","bdp_wmem","Tue Mar 14 2023 20:45:51 GMT-0400 (Eastern Daylight Time)","572079","Match,No Match","","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw091.bmp","0,1","noMatchFace","i","3000","","","","",""
"html-keyboard-response","11","58786","0.0-5.0-3.1","5f934f7fdc89a111b5712011","bdp_wmem","Tue Mar 14 2023 20:45:51 GMT-0400 (Eastern Daylight Time)","572079","Match,No Match","","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","12","60058","0.0-5.0-4.1","5f934f7fdc89a111b5712011","bdp_wmem","Tue Mar 14 2023 20:45:51 GMT-0400 (Eastern Daylight Time)","572079","Match,No Match","","","","","","","1269","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","2","trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw091.bmp","0,1","noMatchFace","i","3000","trustrating_stim/white_mw085.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","13","60563","0.0-5.0-5.1","5f934f7fdc89a111b5712011","bdp_wmem","Tue Mar 14 2023 20:45:51 GMT-0400 (Eastern Daylight Time)","572079","Match,No Match","","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","14","61069","0.0-5.0-1.2","5f934f7fdc89a111b5712011","bdp_wmem","Tue Mar 14 2023 20:45:51 GMT-0400 (Eastern Daylight Time)","572079","Match,No Match","","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","15","65581","0.0-5.0-2.2","5f934f7fdc89a111b5712011","bdp_wmem","Tue Mar 14 2023 20:45:51 GMT-0400 (Eastern Daylight Time)","572079","Match,No Match","","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw042.bmp,trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw085.bmp","0,1,1","noMatchOutcome","i","4500","","","","",""
