"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"focus","0","0","focusevent","63fe39cd075bd5283fad495d","bdp_wmem","Tue Mar 14 2023 19:00:19 GMT-0500 (Central Daylight Time)","588507","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"","","","","63fe39cd075bd5283fad495d","bdp_wmem","Tue Mar 14 2023 19:00:19 GMT-0500 (Central Daylight Time)","588507","Match,No Match","pavlovia","0","1","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","63fe39cd075bd5283fad495d","bdp_wmem","Tue Mar 14 2023 19:00:19 GMT-0500 (Central Daylight Time)","588507","Match,No Match","instructions","1","2508","0.0-1.0","[{""page_index"":0,""viewing_time"":2507}]","2507","","","","","","","","","","","","","","",""
"fullscreenexit","2","5655","fullscreenexit","63fe39cd075bd5283fad495d","bdp_wmem","Tue Mar 14 2023 19:00:19 GMT-0500 (Central Daylight Time)","588507","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"","","","","63fe39cd075bd5283fad495d","bdp_wmem","Tue Mar 14 2023 19:00:19 GMT-0500 (Central Daylight Time)","588507","Match,No Match","fullscreen","2","6449","0.0-2.0","","","true","","","","","","","","","","","","","",""
"","","","fullscreenfail","63fe39cd075bd5283fad495d","bdp_wmem","Tue Mar 14 2023 19:00:19 GMT-0500 (Central Daylight Time)","588507","Match,No Match","image-keyboard-response","3","7408","0.0-3.0-0.0","","957","","","32","","","","","","","","","","","",""
"","","","","63fe39cd075bd5283fad495d","bdp_wmem","Tue Mar 14 2023 19:00:19 GMT-0500 (Central Daylight Time)","588507","Match,No Match","instructions","4","86159","0.0-4.0","[{""page_index"":0,""viewing_time"":25693},{""page_index"":1,""viewing_time"":34437},{""page_index"":2,""viewing_time"":9049},{""page_index"":3,""viewing_time"":5236},{""page_index"":4,""viewing_time"":4079}]","78494","","","","","","","","","","","","","","",""
"","","","","63fe39cd075bd5283fad495d","bdp_wmem","Tue Mar 14 2023 19:00:19 GMT-0500 (Central Daylight Time)","588507","Match,No Match","html-keyboard-response","5","86663","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","63fe39cd075bd5283fad495d","bdp_wmem","Tue Mar 14 2023 19:00:19 GMT-0500 (Central Daylight Time)","588507","Match,No Match","html-keyboard-response","6","88171","0.0-5.0-2.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw012.bmp","1","Match","e","1500","","","","",""
"","","","","63fe39cd075bd5283fad495d","bdp_wmem","Tue Mar 14 2023 19:00:19 GMT-0500 (Central Daylight Time)","588507","Match,No Match","html-keyboard-response","7","92187","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
