"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","150","409753","0.0-7.0-5.22","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","151","410268","0.0-7.0-1.23","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","152","414778","0.0-7.0-2.23","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw012.bmp","1,0,0","noMatchFace","i","4500","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","153","418783","0.0-7.0-3.23","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","154","420811","0.0-7.0-4.23","","2028","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","3","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw012.bmp","1,0,0","noMatchFace","i","4500","trustrating_stim/white_mw040.bmp","red","Keep","REAL","1"
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","155","421326","0.0-7.0-5.23","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","156","421841","0.0-7.0-1.24","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","157","424853","0.0-7.0-2.24","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw042.bmp","0,1","Match","e","3000","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","158","428868","0.0-7.0-3.24","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","159","430147","0.0-7.0-4.24","","1278","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw042.bmp","0,1","Match","e","3000","trustrating_stim/white_mw012.bmp","red","Keep","REAL","1"
