"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"focus","0","0","focusevent","5f29bcd6a340af13ed199faa","bdp_wmem","Tue May 11 2021 12:55:19 GMT-0700 (Pacific Daylight Time)","817526","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","5f29bcd6a340af13ed199faa","bdp_wmem","Tue May 11 2021 12:55:19 GMT-0700 (Pacific Daylight Time)","817526","Match,No Match","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","5f29bcd6a340af13ed199faa","bdp_wmem","Tue May 11 2021 12:55:19 GMT-0700 (Pacific Daylight Time)","817526","Match,No Match","","pavlovia","0","20","0.0-0.0","","","","","","","","","","","","","","","","",""
"focus","1","280","focusevent","5f29bcd6a340af13ed199faa","bdp_wmem","Tue May 11 2021 12:55:19 GMT-0700 (Pacific Daylight Time)","817526","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","5f29bcd6a340af13ed199faa","bdp_wmem","Tue May 11 2021 12:55:19 GMT-0700 (Pacific Daylight Time)","817526","Match,No Match","","instructions","1","1832","0.0-1.0","[{""page_index"":0,""viewing_time"":1796}]","1796","","","","","","","","","","","","","","",""
"fullscreenexit","2","4007","fullscreenexit","5f29bcd6a340af13ed199faa","bdp_wmem","Tue May 11 2021 12:55:19 GMT-0700 (Pacific Daylight Time)","817526","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","5f29bcd6a340af13ed199faa","bdp_wmem","Tue May 11 2021 12:55:19 GMT-0700 (Pacific Daylight Time)","817526","Match,No Match","","fullscreen","2","4650","0.0-2.0","","","true","","","","","","","","","","","","","",""
"","","","fullscreenfail","5f29bcd6a340af13ed199faa","bdp_wmem","Tue May 11 2021 12:55:19 GMT-0700 (Pacific Daylight Time)","817526","Match,No Match","","image-keyboard-response","3","5967","0.0-3.0-0.0","","1311","","","32","","","","","","","","","","","",""
"","","","","5f29bcd6a340af13ed199faa","bdp_wmem","Tue May 11 2021 12:55:19 GMT-0700 (Pacific Daylight Time)","817526","Match,No Match","","instructions","4","62903","0.0-4.0","[{""page_index"":0,""viewing_time"":19365},{""page_index"":1,""viewing_time"":15660},{""page_index"":2,""viewing_time"":7334},{""page_index"":3,""viewing_time"":6194},{""page_index"":4,""viewing_time"":8118}]","56673","","","","","","","","","","","","","","",""
"","","","","5f29bcd6a340af13ed199faa","bdp_wmem","Tue May 11 2021 12:55:19 GMT-0700 (Pacific Daylight Time)","817526","Match,No Match","","html-keyboard-response","5","63423","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","5f29bcd6a340af13ed199faa","bdp_wmem","Tue May 11 2021 12:55:19 GMT-0700 (Pacific Daylight Time)","817526","Match,No Match","","html-keyboard-response","6","67930","0.0-5.0-2.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw092.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw003.bmp","1,0,1","noMatchOutcome","i","4500","","","","",""
"","","","","5f29bcd6a340af13ed199faa","bdp_wmem","Tue May 11 2021 12:55:19 GMT-0700 (Pacific Daylight Time)","817526","Match,No Match","","html-keyboard-response","7","71933","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","5f29bcd6a340af13ed199faa","bdp_wmem","Tue May 11 2021 12:55:19 GMT-0700 (Pacific Daylight Time)","817526","Match,No Match","","html-keyboard-response","8","75087","0.0-5.0-4.0","","3151","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","3","trustrating_stim/white_mw092.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw003.bmp","1,0,1","noMatchOutcome","i","4500","trustrating_stim/white_mw092.bmp","red","Keep","PRACTICE","1"
