"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr","numBlurs"
"html-keyboard-response","10","19532","0.0-5.0-2.1","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw033.bmp","1,0,0","noMatchOutcome","i","4500","","","","","",""
"html-keyboard-response","11","23538","0.0-5.0-3.1","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","12","24861","0.0-5.0-4.1","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","1321","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","3","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw033.bmp","1,0,0","noMatchOutcome","i","4500","trustrating_stim/white_mw078.bmp","red","Keep","PRACTICE","1",""
"html-keyboard-response","13","25364","0.0-5.0-5.1","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"html-keyboard-response","14","25866","0.0-5.0-1.2","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"html-keyboard-response","15","30372","0.0-5.0-2.2","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw078.bmp","1,0,1","Match","e","4500","","","","","",""
"html-keyboard-response","16","34377","0.0-5.0-3.2","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","17","35443","0.0-5.0-4.2","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","1064","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw078.bmp","1,0,1","Match","e","4500","trustrating_stim/white_mw070.bmp","red","Keep","PRACTICE","1",""
"html-keyboard-response","18","35946","0.0-5.0-5.2","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"html-keyboard-response","19","36452","0.0-5.0-1.3","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"html-keyboard-response","20","39457","0.0-5.0-2.3","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw092.bmp","0,1","noMatchOutcome","i","3000","","","","","",""
"html-keyboard-response","21","43460","0.0-5.0-3.3","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","22","44892","0.0-5.0-4.3","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","1429","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw092.bmp","0,1","noMatchOutcome","i","3000","trustrating_stim/white_mw092.bmp","red","Keep","PRACTICE","0",""
"html-keyboard-response","23","45393","0.0-5.0-5.3","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"html-keyboard-response","24","45898","0.0-5.0-1.4","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"html-keyboard-response","25","47403","0.0-5.0-2.4","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw038.bmp","0","Match","e","1500","","","","","",""
"html-keyboard-response","26","51407","0.0-5.0-3.4","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","27","52497","0.0-5.0-4.4","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","1089","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw038.bmp","0","Match","e","1500","trustrating_stim/white_mw038.bmp","red","Keep","PRACTICE","1",""
"html-keyboard-response","28","53001","0.0-5.0-5.4","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"html-keyboard-response","29","53503","0.0-5.0-1.5","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"html-keyboard-response","30","56506","0.0-5.0-2.5","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw003.bmp","0,1","Match","e","3000","","","","","",""
"html-keyboard-response","31","60511","0.0-5.0-3.5","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","32","61790","0.0-5.0-4.5","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","1278","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw003.bmp","0,1","Match","e","3000","trustrating_stim/white_mw070.bmp","red","Keep","PRACTICE","1",""
"html-keyboard-response","33","62293","0.0-5.0-5.5","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"","","","","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","fullscreenexit","34","67865","fullscreenexit","","","","","","","","","","","","","","","","","",""
"","","","","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","blur","34","70971","blurevent","","","","","","","","","","","","","","","","","","1"
"","","","","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","focus","34","120049","focusevent","","","","","","","","","","","","","","","","","",""
"instructions","34","122942","0.0-6.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","[{""page_index"":0,""viewing_time"":60648}]","60648","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","123446","0.0-7.0-1.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"html-keyboard-response","36","126451","0.0-7.0-2.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw040.bmp","1,0","Match","e","3000","","","","","",""
"html-keyboard-response","37","130455","0.0-7.0-3.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","38","131704","0.0-7.0-4.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","1248","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw040.bmp","1,0","Match","e","3000","trustrating_stim/white_mw040.bmp","red","Keep","REAL","1",""
"html-keyboard-response","39","132209","0.0-7.0-5.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"html-keyboard-response","40","132713","0.0-7.0-1.1","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"html-keyboard-response","41","135717","0.0-7.0-2.1","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw033.bmp","1,0","noMatchOutcome","i","3000","","","","","",""
"html-keyboard-response","42","139722","0.0-7.0-3.1","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","43","140978","0.0-7.0-4.1","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","1255","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","2","trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw033.bmp","1,0","noMatchOutcome","i","3000","trustrating_stim/white_mw015.bmp","red","Keep","REAL","1",""
"html-keyboard-response","44","141482","0.0-7.0-5.1","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"html-keyboard-response","45","141987","0.0-7.0-1.2","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"html-keyboard-response","46","144988","0.0-7.0-2.2","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw033.bmp","1,0","noMatchFace","i","3000","","","","","",""
"html-keyboard-response","47","148992","0.0-7.0-3.2","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","48","150451","0.0-7.0-4.2","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","1458","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","2","trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw033.bmp","1,0","noMatchFace","i","3000","trustrating_stim/white_mw038.bmp","green","Share","REAL","1",""
"html-keyboard-response","49","150955","0.0-7.0-5.2","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"fullscreen","50","151959","0.0-8.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","","true","","","","","","","","","","","","","","",""
"html-keyboard-response","51","152463","0.0-9.0","","","","","","","","","","","null","","","null","","","","","","","","","","","","",""
