"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr","numBlurs"
"pavlovia","0","1","0.0-0.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","focus","1","1884","focusevent","","","","","","","","","","","","","","","","","",""
"instructions","1","2833","0.0-1.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","[{""page_index"":0,""viewing_time"":2831}]","2831","","","","","","","","","","","","","","","",""
"","","","","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","fullscreenenter","2","4689","fullscreenenter","","","","","","","","","","","","","","","","","",""
"fullscreen","2","5679","0.0-2.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","","true","","","","","","","","","","","","","","",""
"instructions","3","7099","0.0-4.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","[{""page_index"":0,""viewing_time"":608},{""page_index"":1,""viewing_time"":297},{""page_index"":2,""viewing_time"":177},{""page_index"":3,""viewing_time"":189},{""page_index"":4,""viewing_time"":148}]","1419","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","7605","0.0-5.0-1.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"html-keyboard-response","5","9108","0.0-5.0-2.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw038.bmp","0","noMatchFace","i","1500","","","","","",""
"html-keyboard-response","6","13114","0.0-5.0-3.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","7","14018","0.0-5.0-4.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","903","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw038.bmp","0","noMatchFace","i","1500","trustrating_stim/white_mw015.bmp","red","Keep","PRACTICE","1",""
"html-keyboard-response","8","14521","0.0-5.0-5.0","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"html-keyboard-response","9","15025","0.0-5.0-1.1","DSTESTING4","bdp_wmem","Tue Mar 15 2022 13:59:36 GMT-0400 (Eastern Daylight Time)","151960","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
