"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"focus","0","0","focusevent","61103c2b7810420e5f23f437","bdp_wmem","Mon Mar 13 2023 23:30:27 GMT-0500 (Central Daylight Time)","671727","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_wmem","Mon Mar 13 2023 23:30:27 GMT-0500 (Central Daylight Time)","671727","Match,No Match","pavlovia","0","3","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_wmem","Mon Mar 13 2023 23:30:27 GMT-0500 (Central Daylight Time)","671727","Match,No Match","instructions","1","10247","0.0-1.0","[{""page_index"":0,""viewing_time"":10244}]","10244","","","","","","","","","","","","","","",""
"fullscreenexit","2","15188","fullscreenexit","61103c2b7810420e5f23f437","bdp_wmem","Mon Mar 13 2023 23:30:27 GMT-0500 (Central Daylight Time)","671727","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_wmem","Mon Mar 13 2023 23:30:27 GMT-0500 (Central Daylight Time)","671727","Match,No Match","fullscreen","2","16187","0.0-2.0","","","true","","","","","","","","","","","","","",""
"","","","fullscreenfail","61103c2b7810420e5f23f437","bdp_wmem","Mon Mar 13 2023 23:30:27 GMT-0500 (Central Daylight Time)","671727","Match,No Match","image-keyboard-response","3","18660","0.0-3.0-0.0","","2470","","","32","","","","","","","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_wmem","Mon Mar 13 2023 23:30:27 GMT-0500 (Central Daylight Time)","671727","Match,No Match","instructions","4","140870","0.0-4.0","[{""page_index"":0,""viewing_time"":77562},{""page_index"":1,""viewing_time"":20007},{""page_index"":2,""viewing_time"":12962},{""page_index"":3,""viewing_time"":8447},{""page_index"":4,""viewing_time"":2980}]","121958","","","","","","","","","","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_wmem","Mon Mar 13 2023 23:30:27 GMT-0500 (Central Daylight Time)","671727","Match,No Match","html-keyboard-response","5","141374","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_wmem","Mon Mar 13 2023 23:30:27 GMT-0500 (Central Daylight Time)","671727","Match,No Match","html-keyboard-response","6","142878","0.0-5.0-2.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw091.bmp","1","Match","e","1500","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_wmem","Mon Mar 13 2023 23:30:27 GMT-0500 (Central Daylight Time)","671727","Match,No Match","html-keyboard-response","7","146884","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_wmem","Mon Mar 13 2023 23:30:27 GMT-0500 (Central Daylight Time)","671727","Match,No Match","html-keyboard-response","8","147928","0.0-5.0-4.0","","1043","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw091.bmp","1","Match","e","1500","trustrating_stim/white_mw091.bmp","green","Share","PRACTICE","1"
"","","","","61103c2b7810420e5f23f437","bdp_wmem","Mon Mar 13 2023 23:30:27 GMT-0500 (Central Daylight Time)","671727","Match,No Match","html-keyboard-response","9","148435","0.0-5.0-5.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_wmem","Mon Mar 13 2023 23:30:27 GMT-0500 (Central Daylight Time)","671727","Match,No Match","html-keyboard-response","10","148939","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
