"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","6","0.0-0.0","6362aca86b740b1ec4cb6efb","bdp_wmem","Fri Mar 10 2023 14:57:07 GMT-0500 (Eastern Standard Time)","653341","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","13234","0.0-1.0","6362aca86b740b1ec4cb6efb","bdp_wmem","Fri Mar 10 2023 14:57:07 GMT-0500 (Eastern Standard Time)","653341","Match,No Match","[{""page_index"":0,""viewing_time"":13227}]","13227","","","","","","","","","","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_wmem","Fri Mar 10 2023 14:57:07 GMT-0500 (Eastern Standard Time)","653341","Match,No Match","","","blur","2","26336","blurevent","1","","","","","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_wmem","Fri Mar 10 2023 14:57:07 GMT-0500 (Eastern Standard Time)","653341","Match,No Match","","","focus","2","26346","focusevent","","","","","","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_wmem","Fri Mar 10 2023 14:57:07 GMT-0500 (Eastern Standard Time)","653341","Match,No Match","","","blur","2","26348","blurevent","","","","","","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_wmem","Fri Mar 10 2023 14:57:07 GMT-0500 (Eastern Standard Time)","653341","Match,No Match","","","fullscreenenter","2","26357","fullscreenenter","","","","","","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_wmem","Fri Mar 10 2023 14:57:07 GMT-0500 (Eastern Standard Time)","653341","Match,No Match","","","focus","2","26615","focusevent","","","","","","","","","","","","","","","",""
"fullscreen","2","27319","0.0-2.0","6362aca86b740b1ec4cb6efb","bdp_wmem","Fri Mar 10 2023 14:57:07 GMT-0500 (Eastern Standard Time)","653341","Match,No Match","","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","48530","0.0-4.0","6362aca86b740b1ec4cb6efb","bdp_wmem","Fri Mar 10 2023 14:57:07 GMT-0500 (Eastern Standard Time)","653341","Match,No Match","[{""page_index"":0,""viewing_time"":2395},{""page_index"":1,""viewing_time"":8257},{""page_index"":2,""viewing_time"":2250},{""page_index"":3,""viewing_time"":5558},{""page_index"":4,""viewing_time"":2743}]","21204","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","49035","0.0-5.0-1.0","6362aca86b740b1ec4cb6efb","bdp_wmem","Fri Mar 10 2023 14:57:07 GMT-0500 (Eastern Standard Time)","653341","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
