"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr","numBlurs"
"pavlovia","0","12","0.0-0.0","5f514708067fba172909261a","bdp_wmem","Mon Mar 13 2023 14:26:19 GMT-0600 (Mountain Daylight Time)","1773007","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","3421","0.0-1.0","5f514708067fba172909261a","bdp_wmem","Mon Mar 13 2023 14:26:19 GMT-0600 (Mountain Daylight Time)","1773007","Match,No Match","[{""page_index"":0,""viewing_time"":3407}]","3408","","","","","","","","","","","","","","","","","","","",""
"","","","","5f514708067fba172909261a","bdp_wmem","Mon Mar 13 2023 14:26:19 GMT-0600 (Mountain Daylight Time)","1773007","Match,No Match","","","fullscreenenter","2","27826","fullscreenenter","","","","","","","","","","","","","","","",""
"fullscreen","2","28817","0.0-2.0","5f514708067fba172909261a","bdp_wmem","Mon Mar 13 2023 14:26:19 GMT-0600 (Mountain Daylight Time)","1773007","Match,No Match","","","","","","","true","","","","","","","","","","","","","","",""
"instructions","3","283063","0.0-4.0","5f514708067fba172909261a","bdp_wmem","Mon Mar 13 2023 14:26:19 GMT-0600 (Mountain Daylight Time)","1773007","Match,No Match","[{""page_index"":0,""viewing_time"":3452},{""page_index"":1,""viewing_time"":246809},{""page_index"":2,""viewing_time"":1041},{""page_index"":3,""viewing_time"":874},{""page_index"":4,""viewing_time"":2065}]","254242","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","283574","0.0-5.0-1.0","5f514708067fba172909261a","bdp_wmem","Mon Mar 13 2023 14:26:19 GMT-0600 (Mountain Daylight Time)","1773007","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"html-keyboard-response","5","288084","0.0-5.0-2.0","5f514708067fba172909261a","bdp_wmem","Mon Mar 13 2023 14:26:19 GMT-0600 (Mountain Daylight Time)","1773007","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw078.bmp","0,1,0","noMatchOutcome","i","4500","","","","","",""
"html-keyboard-response","6","292090","0.0-5.0-3.0","5f514708067fba172909261a","bdp_wmem","Mon Mar 13 2023 14:26:19 GMT-0600 (Mountain Daylight Time)","1773007","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","7","295184","0.0-5.0-4.0","5f514708067fba172909261a","bdp_wmem","Mon Mar 13 2023 14:26:19 GMT-0600 (Mountain Daylight Time)","1773007","Match,No Match","","3086","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","3","trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw078.bmp","0,1,0","noMatchOutcome","i","4500","trustrating_stim/white_mw010.bmp","green","Share","PRACTICE","1",""
"html-keyboard-response","8","295690","0.0-5.0-5.0","5f514708067fba172909261a","bdp_wmem","Mon Mar 13 2023 14:26:19 GMT-0600 (Mountain Daylight Time)","1773007","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"html-keyboard-response","9","296197","0.0-5.0-1.1","5f514708067fba172909261a","bdp_wmem","Mon Mar 13 2023 14:26:19 GMT-0600 (Mountain Daylight Time)","1773007","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
