"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"focus","0","0","focusevent","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","instructions","1","1923","0.0-1.0","[{""page_index"":0,""viewing_time"":1919}]","1920","","","","","","","","","","","","","","","",""
"blur","2","6405","blurevent","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","","","","","","","1","","","","","","","","","","","","","","",""
"focus","2","6418","focusevent","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"fullscreenexit","2","6428","fullscreenexit","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","fullscreen","2","7186","0.0-2.0","","","","true","","","","","","","","","","","","","",""
"","","","fullscreenfail","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","image-keyboard-response","3","11012","0.0-3.0-0.0","","3823","","","","32","","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","instructions","4","155096","0.0-4.0","[{""page_index"":0,""viewing_time"":58561},{""page_index"":1,""viewing_time"":31468},{""page_index"":2,""viewing_time"":35026},{""page_index"":3,""viewing_time"":7269},{""page_index"":4,""viewing_time"":11503}]","143828","","","","","","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","5","155603","0.0-5.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
