"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr","numBlurs"
"pavlovia","0","1","0.0-0.0","610940bbdb7795c3be364375","bdp_wmem","Wed Mar 15 2023 13:44:15 GMT-0500 (Central Daylight Time)","570663","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","7345","0.0-1.0","610940bbdb7795c3be364375","bdp_wmem","Wed Mar 15 2023 13:44:15 GMT-0500 (Central Daylight Time)","570663","Match,No Match","[{""page_index"":0,""viewing_time"":7343}]","7343","","","","","","","","","","","","","","","","","","","",""
"","","","","610940bbdb7795c3be364375","bdp_wmem","Wed Mar 15 2023 13:44:15 GMT-0500 (Central Daylight Time)","570663","Match,No Match","","","fullscreenenter","2","9674","fullscreenenter","","","","","","","","","","","","","","","",""
"fullscreen","2","10652","0.0-2.0","610940bbdb7795c3be364375","bdp_wmem","Wed Mar 15 2023 13:44:15 GMT-0500 (Central Daylight Time)","570663","Match,No Match","","","","","","","true","","","","","","","","","","","","","","",""
"instructions","3","42591","0.0-4.0","610940bbdb7795c3be364375","bdp_wmem","Wed Mar 15 2023 13:44:15 GMT-0500 (Central Daylight Time)","570663","Match,No Match","[{""page_index"":0,""viewing_time"":12612},{""page_index"":1,""viewing_time"":5014},{""page_index"":2,""viewing_time"":3305},{""page_index"":3,""viewing_time"":3287},{""page_index"":4,""viewing_time"":7720}]","31938","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","43093","0.0-5.0-1.0","610940bbdb7795c3be364375","bdp_wmem","Wed Mar 15 2023 13:44:15 GMT-0500 (Central Daylight Time)","570663","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"html-keyboard-response","5","44594","0.0-5.0-2.0","610940bbdb7795c3be364375","bdp_wmem","Wed Mar 15 2023 13:44:15 GMT-0500 (Central Daylight Time)","570663","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw040.bmp","1","noMatchFace","i","1500","","","","","",""
"html-keyboard-response","6","48597","0.0-5.0-3.0","610940bbdb7795c3be364375","bdp_wmem","Wed Mar 15 2023 13:44:15 GMT-0500 (Central Daylight Time)","570663","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","7","50408","0.0-5.0-4.0","610940bbdb7795c3be364375","bdp_wmem","Wed Mar 15 2023 13:44:15 GMT-0500 (Central Daylight Time)","570663","Match,No Match","","1810","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw040.bmp","1","noMatchFace","i","1500","trustrating_stim/white_mw012.bmp","green","Share","PRACTICE","1",""
"html-keyboard-response","8","50908","0.0-5.0-5.0","610940bbdb7795c3be364375","bdp_wmem","Wed Mar 15 2023 13:44:15 GMT-0500 (Central Daylight Time)","570663","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
