"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"focus","0","0","focusevent","627ea14463f25dce42e73d51","bdp_wmem","Mon Mar 13 2023 13:59:48 GMT-0400 (Eastern Daylight Time)","1008725","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","627ea14463f25dce42e73d51","bdp_wmem","Mon Mar 13 2023 13:59:48 GMT-0400 (Eastern Daylight Time)","1008725","Match,No Match","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","627ea14463f25dce42e73d51","bdp_wmem","Mon Mar 13 2023 13:59:48 GMT-0400 (Eastern Daylight Time)","1008725","Match,No Match","","pavlovia","0","12","0.0-0.0","","","","","","","","","","","","","","","","",""
"focus","1","2100","focusevent","627ea14463f25dce42e73d51","bdp_wmem","Mon Mar 13 2023 13:59:48 GMT-0400 (Eastern Daylight Time)","1008725","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","627ea14463f25dce42e73d51","bdp_wmem","Mon Mar 13 2023 13:59:48 GMT-0400 (Eastern Daylight Time)","1008725","Match,No Match","","instructions","1","6201","0.0-1.0","[{""page_index"":0,""viewing_time"":6185}]","6185","","","","","","","","","","","","","","",""
"fullscreenexit","2","9356","fullscreenexit","627ea14463f25dce42e73d51","bdp_wmem","Mon Mar 13 2023 13:59:48 GMT-0400 (Eastern Daylight Time)","1008725","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","627ea14463f25dce42e73d51","bdp_wmem","Mon Mar 13 2023 13:59:48 GMT-0400 (Eastern Daylight Time)","1008725","Match,No Match","","fullscreen","2","10102","0.0-2.0","","","true","","","","","","","","","","","","","",""
"","","","fullscreenfail","627ea14463f25dce42e73d51","bdp_wmem","Mon Mar 13 2023 13:59:48 GMT-0400 (Eastern Daylight Time)","1008725","Match,No Match","","image-keyboard-response","3","60426","0.0-3.0-0.0","","50318","","","32","","","","","","","","","","","",""
"","","","","627ea14463f25dce42e73d51","bdp_wmem","Mon Mar 13 2023 13:59:48 GMT-0400 (Eastern Daylight Time)","1008725","Match,No Match","","instructions","4","431712","0.0-4.0","[{""page_index"":0,""viewing_time"":130614},{""page_index"":1,""viewing_time"":154159},{""page_index"":2,""viewing_time"":49820},{""page_index"":3,""viewing_time"":20133},{""page_index"":4,""viewing_time"":16299}]","371026","","","","","","","","","","","","","","",""
"","","","","627ea14463f25dce42e73d51","bdp_wmem","Mon Mar 13 2023 13:59:48 GMT-0400 (Eastern Daylight Time)","1008725","Match,No Match","","html-keyboard-response","5","432225","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
