"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","2","0.0-0.0","DSTESTING","bdp_wmem","Tue Mar 15 2022 11:47:39 GMT-0400 (Eastern Daylight Time)","127675","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","DSTESTING","bdp_wmem","Tue Mar 15 2022 11:47:39 GMT-0400 (Eastern Daylight Time)","127675","Match,No Match","blur","1","333","blurevent","1","","","","","","","","","","","","","","","","",""
"","","","","DSTESTING","bdp_wmem","Tue Mar 15 2022 11:47:39 GMT-0400 (Eastern Daylight Time)","127675","Match,No Match","focus","1","3871","focusevent","","","","","","","","","","","","","","","","","",""
"instructions","1","8200","0.0-1.0","DSTESTING","bdp_wmem","Tue Mar 15 2022 11:47:39 GMT-0400 (Eastern Daylight Time)","127675","Match,No Match","","","","","","[{""page_index"":0,""viewing_time"":8197}]","8197","","","","","","","","","","","","","","",""
"","","","","DSTESTING","bdp_wmem","Tue Mar 15 2022 11:47:39 GMT-0400 (Eastern Daylight Time)","127675","Match,No Match","fullscreenenter","2","9869","fullscreenenter","","","","","","","","","","","","","","","","","",""
"fullscreen","2","10851","0.0-2.0","DSTESTING","bdp_wmem","Tue Mar 15 2022 11:47:39 GMT-0400 (Eastern Daylight Time)","127675","Match,No Match","","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","36183","0.0-4.0","DSTESTING","bdp_wmem","Tue Mar 15 2022 11:47:39 GMT-0400 (Eastern Daylight Time)","127675","Match,No Match","","","","","","[{""page_index"":0,""viewing_time"":6692},{""page_index"":1,""viewing_time"":6433},{""page_index"":2,""viewing_time"":2417},{""page_index"":3,""viewing_time"":3163},{""page_index"":4,""viewing_time"":6626}]","25331","","","","","","","","","","","","","","",""
"html-keyboard-response","4","36686","0.0-5.0-1.0","DSTESTING","bdp_wmem","Tue Mar 15 2022 11:47:39 GMT-0400 (Eastern Daylight Time)","127675","Match,No Match","","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","39693","0.0-5.0-2.0","DSTESTING","bdp_wmem","Tue Mar 15 2022 11:47:39 GMT-0400 (Eastern Daylight Time)","127675","Match,No Match","","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw015.bmp","1,0","Match","e","3000","","","","",""
"html-keyboard-response","6","43698","0.0-5.0-3.0","DSTESTING","bdp_wmem","Tue Mar 15 2022 11:47:39 GMT-0400 (Eastern Daylight Time)","127675","Match,No Match","","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","44705","0.0-5.0-4.0","DSTESTING","bdp_wmem","Tue Mar 15 2022 11:47:39 GMT-0400 (Eastern Daylight Time)","127675","Match,No Match","","","","","","","1005","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw015.bmp","1,0","Match","e","3000","trustrating_stim/white_mw015.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","8","45209","0.0-5.0-5.0","DSTESTING","bdp_wmem","Tue Mar 15 2022 11:47:39 GMT-0400 (Eastern Daylight Time)","127675","Match,No Match","","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
