"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr","numBlurs"
"focus","0","0","focusevent","6005fd9c8bbd67931607e518","bdp_wmem","Sun Mar 12 2023 20:40:57 GMT-0700 (Pacific Daylight Time)","572878","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_wmem","Sun Mar 12 2023 20:40:57 GMT-0700 (Pacific Daylight Time)","572878","Match,No Match","pavlovia","0","4","0.0-0.0","","","","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_wmem","Sun Mar 12 2023 20:40:57 GMT-0700 (Pacific Daylight Time)","572878","Match,No Match","instructions","1","1040","0.0-1.0","[{""page_index"":0,""viewing_time"":1035}]","1036","","","","","","","","","","","","","","","",""
"fullscreenexit","2","3262","fullscreenexit","6005fd9c8bbd67931607e518","bdp_wmem","Sun Mar 12 2023 20:40:57 GMT-0700 (Pacific Daylight Time)","572878","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_wmem","Sun Mar 12 2023 20:40:57 GMT-0700 (Pacific Daylight Time)","572878","Match,No Match","fullscreen","2","4262","0.0-2.0","","","true","","","","","","","","","","","","","","",""
"","","","fullscreenfail","6005fd9c8bbd67931607e518","bdp_wmem","Sun Mar 12 2023 20:40:57 GMT-0700 (Pacific Daylight Time)","572878","Match,No Match","image-keyboard-response","3","5080","0.0-3.0-0.0","","813","","","32","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_wmem","Sun Mar 12 2023 20:40:57 GMT-0700 (Pacific Daylight Time)","572878","Match,No Match","instructions","4","57442","0.0-4.0","[{""page_index"":0,""viewing_time"":14806},{""page_index"":1,""viewing_time"":23763},{""page_index"":2,""viewing_time"":6464},{""page_index"":3,""viewing_time"":5873},{""page_index"":4,""viewing_time"":1202}]","52109","","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_wmem","Sun Mar 12 2023 20:40:57 GMT-0700 (Pacific Daylight Time)","572878","Match,No Match","html-keyboard-response","5","57949","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_wmem","Sun Mar 12 2023 20:40:57 GMT-0700 (Pacific Daylight Time)","572878","Match,No Match","html-keyboard-response","6","62457","0.0-5.0-2.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw042.bmp,trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw012.bmp","1,0,1","Match","e","4500","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_wmem","Sun Mar 12 2023 20:40:57 GMT-0700 (Pacific Daylight Time)","572878","Match,No Match","html-keyboard-response","7","66461","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_wmem","Sun Mar 12 2023 20:40:57 GMT-0700 (Pacific Daylight Time)","572878","Match,No Match","html-keyboard-response","8","69986","0.0-5.0-4.0","","3522","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw042.bmp,trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw012.bmp","1,0,1","Match","e","4500","trustrating_stim/white_mw012.bmp","green","Share","PRACTICE","1",""
"","","","","6005fd9c8bbd67931607e518","bdp_wmem","Sun Mar 12 2023 20:40:57 GMT-0700 (Pacific Daylight Time)","572878","Match,No Match","html-keyboard-response","9","70492","0.0-5.0-5.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_wmem","Sun Mar 12 2023 20:40:57 GMT-0700 (Pacific Daylight Time)","572878","Match,No Match","html-keyboard-response","10","70998","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_wmem","Sun Mar 12 2023 20:40:57 GMT-0700 (Pacific Daylight Time)","572878","Match,No Match","html-keyboard-response","11","72504","0.0-5.0-2.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw091.bmp","0","noMatchFace","i","1500","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_wmem","Sun Mar 12 2023 20:40:57 GMT-0700 (Pacific Daylight Time)","572878","Match,No Match","html-keyboard-response","12","76506","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_wmem","Sun Mar 12 2023 20:40:57 GMT-0700 (Pacific Daylight Time)","572878","Match,No Match","html-keyboard-response","13","78854","0.0-5.0-4.1","","2346","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw091.bmp","0","noMatchFace","i","1500","trustrating_stim/white_mw003.bmp","red","Keep","PRACTICE","1",""
"","","","","6005fd9c8bbd67931607e518","bdp_wmem","Sun Mar 12 2023 20:40:57 GMT-0700 (Pacific Daylight Time)","572878","Match,No Match","html-keyboard-response","14","79360","0.0-5.0-5.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
