"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","7","0.0-0.0","63d3fb1c82d319ac2f752d80","bdp_wmem","Thu Mar 16 2023 00:28:48 GMT-0400 (Eastern Daylight Time)","1093747","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","1690","0.0-1.0","63d3fb1c82d319ac2f752d80","bdp_wmem","Thu Mar 16 2023 00:28:48 GMT-0400 (Eastern Daylight Time)","1093747","Match,No Match","[{""page_index"":0,""viewing_time"":1681}]","1681","","","","","","","","","","","","","","","","","","","",""
"","","","","63d3fb1c82d319ac2f752d80","bdp_wmem","Thu Mar 16 2023 00:28:48 GMT-0400 (Eastern Daylight Time)","1093747","Match,No Match","","","fullscreenenter","2","3049","fullscreenenter","","","","","","","","","","","","","","","",""
"fullscreen","2","4021","0.0-2.0","63d3fb1c82d319ac2f752d80","bdp_wmem","Thu Mar 16 2023 00:28:48 GMT-0400 (Eastern Daylight Time)","1093747","Match,No Match","","","","","","","true","","","","","","","","","","","","","","",""
"","","","","63d3fb1c82d319ac2f752d80","bdp_wmem","Thu Mar 16 2023 00:28:48 GMT-0400 (Eastern Daylight Time)","1093747","Match,No Match","","","blur","3","254127","blurevent","","1","","","","","","","","","","","","","",""
"","","","","63d3fb1c82d319ac2f752d80","bdp_wmem","Thu Mar 16 2023 00:28:48 GMT-0400 (Eastern Daylight Time)","1093747","Match,No Match","","","focus","3","347244","focusevent","","","","","","","","","","","","","","","",""
"instructions","3","425526","0.0-4.0","63d3fb1c82d319ac2f752d80","bdp_wmem","Thu Mar 16 2023 00:28:48 GMT-0400 (Eastern Daylight Time)","1093747","Match,No Match","[{""page_index"":0,""viewing_time"":27898},{""page_index"":1,""viewing_time"":32719},{""page_index"":2,""viewing_time"":2575},{""page_index"":3,""viewing_time"":6397},{""page_index"":4,""viewing_time"":351914}]","421504","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","426029","0.0-5.0-1.0","63d3fb1c82d319ac2f752d80","bdp_wmem","Thu Mar 16 2023 00:28:48 GMT-0400 (Eastern Daylight Time)","1093747","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","430532","0.0-5.0-2.0","63d3fb1c82d319ac2f752d80","bdp_wmem","Thu Mar 16 2023 00:28:48 GMT-0400 (Eastern Daylight Time)","1093747","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw078.bmp","1,0,0","noMatchOutcome","i","4500","","","","",""
"html-keyboard-response","6","434536","0.0-5.0-3.0","63d3fb1c82d319ac2f752d80","bdp_wmem","Thu Mar 16 2023 00:28:48 GMT-0400 (Eastern Daylight Time)","1093747","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","439279","0.0-5.0-4.0","63d3fb1c82d319ac2f752d80","bdp_wmem","Thu Mar 16 2023 00:28:48 GMT-0400 (Eastern Daylight Time)","1093747","Match,No Match","","4740","","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw078.bmp","1,0,0","noMatchOutcome","i","4500","trustrating_stim/white_mw085.bmp","red","Keep","PRACTICE","0"
"html-keyboard-response","8","439780","0.0-5.0-5.0","63d3fb1c82d319ac2f752d80","bdp_wmem","Thu Mar 16 2023 00:28:48 GMT-0400 (Eastern Daylight Time)","1093747","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","9","440283","0.0-5.0-1.1","63d3fb1c82d319ac2f752d80","bdp_wmem","Thu Mar 16 2023 00:28:48 GMT-0400 (Eastern Daylight Time)","1093747","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","10","443287","0.0-5.0-2.1","63d3fb1c82d319ac2f752d80","bdp_wmem","Thu Mar 16 2023 00:28:48 GMT-0400 (Eastern Daylight Time)","1093747","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw013.bmp","1,0","Match","e","3000","","","","",""
