"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"blur","0","0","blurevent","1","611343092396f1d9ed7018ad","bdp_wmem","Sat Apr 08 2023 09:02:27 GMT-0600 (Mountain Daylight Time)","611235","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","","611343092396f1d9ed7018ad","bdp_wmem","Sat Apr 08 2023 09:02:27 GMT-0600 (Mountain Daylight Time)","611235","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","","611343092396f1d9ed7018ad","bdp_wmem","Sat Apr 08 2023 09:02:27 GMT-0600 (Mountain Daylight Time)","611235","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","","611343092396f1d9ed7018ad","bdp_wmem","Sat Apr 08 2023 09:02:27 GMT-0600 (Mountain Daylight Time)","611235","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"","","","","","611343092396f1d9ed7018ad","bdp_wmem","Sat Apr 08 2023 09:02:27 GMT-0600 (Mountain Daylight Time)","611235","Match,No Match","pavlovia","0","16","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","","611343092396f1d9ed7018ad","bdp_wmem","Sat Apr 08 2023 09:02:27 GMT-0600 (Mountain Daylight Time)","611235","Match,No Match","instructions","1","7044","0.0-1.0","[{""page_index"":0,""viewing_time"":7025}]","7025","","","","","","","","","","","","","","",""
"fullscreenenter","2","9723","fullscreenenter","","611343092396f1d9ed7018ad","bdp_wmem","Sat Apr 08 2023 09:02:27 GMT-0600 (Mountain Daylight Time)","611235","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"","","","","","611343092396f1d9ed7018ad","bdp_wmem","Sat Apr 08 2023 09:02:27 GMT-0600 (Mountain Daylight Time)","611235","Match,No Match","fullscreen","2","10673","0.0-2.0","","","true","","","","","","","","","","","","","",""
"","","","","","611343092396f1d9ed7018ad","bdp_wmem","Sat Apr 08 2023 09:02:27 GMT-0600 (Mountain Daylight Time)","611235","Match,No Match","instructions","3","108083","0.0-4.0","[{""page_index"":0,""viewing_time"":19853},{""page_index"":1,""viewing_time"":30790},{""page_index"":2,""viewing_time"":33321},{""page_index"":3,""viewing_time"":7379},{""page_index"":4,""viewing_time"":6062}]","97405","","","","","","","","","","","","","","",""
"","","","","","611343092396f1d9ed7018ad","bdp_wmem","Sat Apr 08 2023 09:02:27 GMT-0600 (Mountain Daylight Time)","611235","Match,No Match","html-keyboard-response","4","108588","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","","611343092396f1d9ed7018ad","bdp_wmem","Sat Apr 08 2023 09:02:27 GMT-0600 (Mountain Daylight Time)","611235","Match,No Match","html-keyboard-response","5","111592","0.0-5.0-2.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw091.bmp","1,0","Match","e","3000","","","","",""
"","","","","","611343092396f1d9ed7018ad","bdp_wmem","Sat Apr 08 2023 09:02:27 GMT-0600 (Mountain Daylight Time)","611235","Match,No Match","html-keyboard-response","6","115595","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
