"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"blur","0","0","blurevent","1","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"","","","","","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","pavlovia","0","9","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","instructions","1","3879","0.0-1.0","[{""page_index"":0,""viewing_time"":3869}]","3869","","","","","","","","","","","","","","",""
"blur","2","5628","blurevent","2","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"focus","2","16071","focusevent","","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"fullscreenenter","2","17810","fullscreenenter","","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"","","","","","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","fullscreen","2","18734","0.0-2.0","","","true","","","","","","","","","","","","","",""
"","","","","","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","instructions","3","50866","0.0-4.0","[{""page_index"":0,""viewing_time"":7610},{""page_index"":1,""viewing_time"":3828},{""page_index"":0,""viewing_time"":3886},{""page_index"":1,""viewing_time"":1760},{""page_index"":2,""viewing_time"":5861},{""page_index"":3,""viewing_time"":3885},{""page_index"":4,""viewing_time"":5299}]","32129","","","","","","","","","","","","","","",""
"","","","","","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","html-keyboard-response","4","51371","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","html-keyboard-response","5","52874","0.0-5.0-2.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw085.bmp","1","noMatchFace","i","1500","","","","",""
"","","","","","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","html-keyboard-response","6","56876","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","html-keyboard-response","7","59293","0.0-5.0-4.0","","2415","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw085.bmp","1","noMatchFace","i","1500","trustrating_stim/white_mw078.bmp","green","Share","PRACTICE","0"
"","","","","","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","html-keyboard-response","8","59796","0.0-5.0-5.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","html-keyboard-response","9","60298","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","html-keyboard-response","10","63301","0.0-5.0-2.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw010.bmp","0,1","Match","e","3000","","","","",""
"","","","","","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","html-keyboard-response","11","67303","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","html-keyboard-response","12","69153","0.0-5.0-4.1","","1848","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw010.bmp","0,1","Match","e","3000","trustrating_stim/white_mw010.bmp","green","Share","PRACTICE","1"
"","","","","","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","html-keyboard-response","13","69654","0.0-5.0-5.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","","60c837327440575481e333ce","bdp_wmem","Tue Mar 14 2023 14:44:29 GMT-0400 (Eastern Daylight Time)","763142","Match,No Match","html-keyboard-response","14","70156","0.0-5.0-1.2","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
