"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"html-keyboard-response","7","456580","0.0-5.0-4.0","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","2671","","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw012.bmp","0","noMatchFace","i","1500","trustrating_stim/white_mw040.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","8","457083","0.0-5.0-5.0","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","9","457585","0.0-5.0-1.1","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","10","462087","0.0-5.0-2.1","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw010.bmp","1,1,0","noMatchOutcome","i","4500","","","","",""
"html-keyboard-response","11","466089","0.0-5.0-3.1","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","12","468925","0.0-5.0-4.1","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","2834","","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw010.bmp","1,1,0","noMatchOutcome","i","4500","trustrating_stim/white_mw010.bmp","green","Share","PRACTICE","0"
"html-keyboard-response","13","469427","0.0-5.0-5.1","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","14","469929","0.0-5.0-1.2","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","15","474430","0.0-5.0-2.2","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw078.bmp","0,1,0","Match","e","4500","","","","",""
"html-keyboard-response","16","478433","0.0-5.0-3.2","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","17","480687","0.0-5.0-4.2","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","2254","","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw078.bmp","0,1,0","Match","e","4500","trustrating_stim/white_mw010.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","18","481188","0.0-5.0-5.2","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","19","481690","0.0-5.0-1.3","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","20","484691","0.0-5.0-2.3","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw085.bmp","1,0","Match","e","3000","","","","",""
"html-keyboard-response","21","488693","0.0-5.0-3.3","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","22","491026","0.0-5.0-4.3","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","2331","","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw085.bmp","1,0","Match","e","3000","trustrating_stim/white_mw078.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","23","491528","0.0-5.0-5.3","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","24","492030","0.0-5.0-1.4","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","25","493533","0.0-5.0-2.4","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw013.bmp","1","Match","e","1500","","","","",""
"html-keyboard-response","26","497535","0.0-5.0-3.4","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","27","498724","0.0-5.0-4.4","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","1188","","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw013.bmp","1","Match","e","1500","trustrating_stim/white_mw013.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","28","499226","0.0-5.0-5.4","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","29","499728","0.0-5.0-1.5","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","30","502729","0.0-5.0-2.5","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw012.bmp","1,0","noMatchFace","i","3000","","","","",""
"html-keyboard-response","31","506731","0.0-5.0-3.5","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","32","508781","0.0-5.0-4.5","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","2049","","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","2","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw012.bmp","1,0","noMatchFace","i","3000","trustrating_stim/white_mw040.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","33","509282","0.0-5.0-5.5","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"instructions","34","511475","0.0-6.0","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","[{""page_index"":0,""viewing_time"":2192}]","2192","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","511977","0.0-7.0-1.0","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","36","513479","0.0-7.0-2.0","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw040.bmp","0","Match","e","1500","","","","",""
"html-keyboard-response","37","517481","0.0-7.0-3.0","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","38","518510","0.0-7.0-4.0","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","1028","","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw040.bmp","0","Match","e","1500","trustrating_stim/white_mw040.bmp","red","Keep","REAL","1"
"html-keyboard-response","39","519011","0.0-7.0-5.0","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","40","519514","0.0-7.0-1.1","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","41","524016","0.0-7.0-2.1","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw042.bmp,trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw038.bmp","1,0,0","noMatchOutcome","i","4500","","","","",""
"html-keyboard-response","42","528018","0.0-7.0-3.1","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","43","530300","0.0-7.0-4.1","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","2281","","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","3","trustrating_stim/white_mw042.bmp,trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw038.bmp","1,0,0","noMatchOutcome","i","4500","trustrating_stim/white_mw038.bmp","green","Share","REAL","1"
"html-keyboard-response","44","530802","0.0-7.0-5.1","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","45","531304","0.0-7.0-1.2","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","46","534307","0.0-7.0-2.2","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw010.bmp","0,1","noMatchFace","i","3000","","","","",""
"html-keyboard-response","47","538309","0.0-7.0-3.2","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","48","539596","0.0-7.0-4.2","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","1287","","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","2","trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw010.bmp","0,1","noMatchFace","i","3000","trustrating_stim/white_mw038.bmp","green","Share","REAL","1"
"html-keyboard-response","49","540098","0.0-7.0-5.2","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","50","540600","0.0-7.0-1.3","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","51","543602","0.0-7.0-2.3","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw070.bmp","1,0","Match","e","3000","","","","",""
"html-keyboard-response","52","547605","0.0-7.0-3.3","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","53","548738","0.0-7.0-4.3","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","1133","","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","2","trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw070.bmp","1,0","Match","e","3000","trustrating_stim/white_mw070.bmp","red","Keep","REAL","0"
