"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","2","0.0-0.0","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","15860","0.0-1.0","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","[{""page_index"":0,""viewing_time"":15857}]","15858","","","","","","","","","","","","","","","","","","","",""
"","","","","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","","fullscreenenter","2","40267","fullscreenenter","","","","","","","","","","","","","","","",""
"fullscreen","2","41210","0.0-2.0","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","","","","","","true","","","","","","","","","","","","","","",""
"","","","","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","","blur","3","221781","blurevent","","1","","","","","","","","","","","","","",""
"","","","","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","","focus","3","379771","focusevent","","","","","","","","","","","","","","","",""
"instructions","3","447902","0.0-4.0","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","[{""page_index"":0,""viewing_time"":45654},{""page_index"":1,""viewing_time"":312117},{""page_index"":2,""viewing_time"":36460},{""page_index"":3,""viewing_time"":8410},{""page_index"":4,""viewing_time"":4049}]","406691","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","448403","0.0-5.0-1.0","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","449906","0.0-5.0-2.0","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw012.bmp","0","noMatchFace","i","1500","","","","",""
"html-keyboard-response","6","453908","0.0-5.0-3.0","63bc9e8cd8106f8d94c636d4","bdp_wmem","Wed Mar 15 2023 23:55:30 GMT-0400 (Eastern Daylight Time)","985465","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
