"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","2","0.0-0.0","63d80145d2f0da3ee6a8d523","bdp_wmem","Mon Mar 13 2023 23:32:43 GMT-0500 (Central Daylight Time)","550744","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","63d80145d2f0da3ee6a8d523","bdp_wmem","Mon Mar 13 2023 23:32:43 GMT-0500 (Central Daylight Time)","550744","Match,No Match","blur","1","3750","blurevent","1","","","","","","","","","","","","","","","","",""
"","","","","63d80145d2f0da3ee6a8d523","bdp_wmem","Mon Mar 13 2023 23:32:43 GMT-0500 (Central Daylight Time)","550744","Match,No Match","focus","1","3844","focusevent","","","","","","","","","","","","","","","","","",""
"instructions","1","5062","0.0-1.0","63d80145d2f0da3ee6a8d523","bdp_wmem","Mon Mar 13 2023 23:32:43 GMT-0500 (Central Daylight Time)","550744","Match,No Match","","","","","","[{""page_index"":0,""viewing_time"":5060}]","5060","","","","","","","","","","","","","","",""
"","","","","63d80145d2f0da3ee6a8d523","bdp_wmem","Mon Mar 13 2023 23:32:43 GMT-0500 (Central Daylight Time)","550744","Match,No Match","fullscreenenter","2","6163","fullscreenenter","","","","","","","","","","","","","","","","","",""
"fullscreen","2","7154","0.0-2.0","63d80145d2f0da3ee6a8d523","bdp_wmem","Mon Mar 13 2023 23:32:43 GMT-0500 (Central Daylight Time)","550744","Match,No Match","","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","58901","0.0-4.0","63d80145d2f0da3ee6a8d523","bdp_wmem","Mon Mar 13 2023 23:32:43 GMT-0500 (Central Daylight Time)","550744","Match,No Match","","","","","","[{""page_index"":0,""viewing_time"":21277},{""page_index"":1,""viewing_time"":17510},{""page_index"":2,""viewing_time"":6234},{""page_index"":3,""viewing_time"":2353},{""page_index"":4,""viewing_time"":4371}]","51745","","","","","","","","","","","","","","",""
"html-keyboard-response","4","59402","0.0-5.0-1.0","63d80145d2f0da3ee6a8d523","bdp_wmem","Mon Mar 13 2023 23:32:43 GMT-0500 (Central Daylight Time)","550744","Match,No Match","","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","60903","0.0-5.0-2.0","63d80145d2f0da3ee6a8d523","bdp_wmem","Mon Mar 13 2023 23:32:43 GMT-0500 (Central Daylight Time)","550744","Match,No Match","","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw038.bmp","1","noMatchFace","i","1500","","","","",""
"html-keyboard-response","6","64904","0.0-5.0-3.0","63d80145d2f0da3ee6a8d523","bdp_wmem","Mon Mar 13 2023 23:32:43 GMT-0500 (Central Daylight Time)","550744","Match,No Match","","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","66567","0.0-5.0-4.0","63d80145d2f0da3ee6a8d523","bdp_wmem","Mon Mar 13 2023 23:32:43 GMT-0500 (Central Daylight Time)","550744","Match,No Match","","","","","","","1663","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw038.bmp","1","noMatchFace","i","1500","trustrating_stim/white_mw012.bmp","green","Share","PRACTICE","0"
