"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr","numBlurs"
"html-keyboard-response","157","368028","0.0-7.0-2.24","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw003.bmp","1,0","noMatchFace","i","3000","","","","","",""
"html-keyboard-response","158","372030","0.0-7.0-3.24","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","159","372857","0.0-7.0-4.24","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","827","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","2","trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw003.bmp","1,0","noMatchFace","i","3000","trustrating_stim/white_mw040.bmp","red","Keep","REAL","1",""
"html-keyboard-response","160","373359","0.0-7.0-5.24","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"html-keyboard-response","161","373860","0.0-7.0-1.25","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"html-keyboard-response","162","375361","0.0-7.0-2.25","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw003.bmp","1","Match","e","1500","","","","","",""
"html-keyboard-response","163","379363","0.0-7.0-3.25","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","164","380067","0.0-7.0-4.25","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","703","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw003.bmp","1","Match","e","1500","trustrating_stim/white_mw003.bmp","green","Share","REAL","1",""
"html-keyboard-response","165","380568","0.0-7.0-5.25","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"html-keyboard-response","166","381068","0.0-7.0-1.26","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
