"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"focus","0","0","focusevent","612fbc37af2136fe81fc71a9","bdp_wmem","Tue Mar 14 2023 10:32:21 GMT-0700 (Pacific Daylight Time)","602401","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_wmem","Tue Mar 14 2023 10:32:21 GMT-0700 (Pacific Daylight Time)","602401","Match,No Match","pavlovia","0","9","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_wmem","Tue Mar 14 2023 10:32:21 GMT-0700 (Pacific Daylight Time)","602401","Match,No Match","instructions","1","2464","0.0-1.0","[{""page_index"":0,""viewing_time"":2454}]","2454","","","","","","","","","","","","","","",""
"fullscreenexit","2","6112","fullscreenexit","612fbc37af2136fe81fc71a9","bdp_wmem","Tue Mar 14 2023 10:32:21 GMT-0700 (Pacific Daylight Time)","602401","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_wmem","Tue Mar 14 2023 10:32:21 GMT-0700 (Pacific Daylight Time)","602401","Match,No Match","fullscreen","2","7053","0.0-2.0","","","true","","","","","","","","","","","","","",""
"","","","fullscreenfail","612fbc37af2136fe81fc71a9","bdp_wmem","Tue Mar 14 2023 10:32:21 GMT-0700 (Pacific Daylight Time)","602401","Match,No Match","image-keyboard-response","3","8839","0.0-3.0-0.0","","1783","","","32","","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_wmem","Tue Mar 14 2023 10:32:21 GMT-0700 (Pacific Daylight Time)","602401","Match,No Match","instructions","4","104835","0.0-4.0","[{""page_index"":0,""viewing_time"":25399},{""page_index"":1,""viewing_time"":33309},{""page_index"":2,""viewing_time"":16845},{""page_index"":3,""viewing_time"":5992},{""page_index"":4,""viewing_time"":14198}]","95743","","","","","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_wmem","Tue Mar 14 2023 10:32:21 GMT-0700 (Pacific Daylight Time)","602401","Match,No Match","html-keyboard-response","5","105340","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_wmem","Tue Mar 14 2023 10:32:21 GMT-0700 (Pacific Daylight Time)","602401","Match,No Match","html-keyboard-response","6","108345","0.0-5.0-2.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw012.bmp","0,1","Match","e","3000","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_wmem","Tue Mar 14 2023 10:32:21 GMT-0700 (Pacific Daylight Time)","602401","Match,No Match","html-keyboard-response","7","112349","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_wmem","Tue Mar 14 2023 10:32:21 GMT-0700 (Pacific Daylight Time)","602401","Match,No Match","html-keyboard-response","8","114439","0.0-5.0-4.0","","2087","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw012.bmp","0,1","Match","e","3000","trustrating_stim/white_mw012.bmp","green","Share","PRACTICE","1"
"","","","","612fbc37af2136fe81fc71a9","bdp_wmem","Tue Mar 14 2023 10:32:21 GMT-0700 (Pacific Daylight Time)","602401","Match,No Match","html-keyboard-response","9","114942","0.0-5.0-5.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_wmem","Tue Mar 14 2023 10:32:21 GMT-0700 (Pacific Daylight Time)","602401","Match,No Match","html-keyboard-response","10","115444","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_wmem","Tue Mar 14 2023 10:32:21 GMT-0700 (Pacific Daylight Time)","602401","Match,No Match","html-keyboard-response","11","116948","0.0-5.0-2.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw003.bmp","1","noMatchFace","i","1500","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_wmem","Tue Mar 14 2023 10:32:21 GMT-0700 (Pacific Daylight Time)","602401","Match,No Match","html-keyboard-response","12","120953","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
