"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"focus","0","0","focusevent","5e654e2055e480000dcd002a","bdp_wmem","Tue Mar 14 2023 13:21:03 GMT-0400 (Eastern Daylight Time)","607202","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_wmem","Tue Mar 14 2023 13:21:03 GMT-0400 (Eastern Daylight Time)","607202","Match,No Match","pavlovia","0","4","0.0-0.0","","","","","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_wmem","Tue Mar 14 2023 13:21:03 GMT-0400 (Eastern Daylight Time)","607202","Match,No Match","instructions","1","2229","0.0-1.0","[{""page_index"":0,""viewing_time"":2224}]","2224","","","","","","","","","","","","","","","",""
"blur","2","5129","blurevent","5e654e2055e480000dcd002a","bdp_wmem","Tue Mar 14 2023 13:21:03 GMT-0400 (Eastern Daylight Time)","607202","Match,No Match","","","","","","","1","","","","","","","","","","","","","","",""
"focus","2","5171","focusevent","5e654e2055e480000dcd002a","bdp_wmem","Tue Mar 14 2023 13:21:03 GMT-0400 (Eastern Daylight Time)","607202","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"fullscreenexit","2","5173","fullscreenexit","5e654e2055e480000dcd002a","bdp_wmem","Tue Mar 14 2023 13:21:03 GMT-0400 (Eastern Daylight Time)","607202","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_wmem","Tue Mar 14 2023 13:21:03 GMT-0400 (Eastern Daylight Time)","607202","Match,No Match","fullscreen","2","5918","0.0-2.0","","","","true","","","","","","","","","","","","","",""
"","","","fullscreenfail","5e654e2055e480000dcd002a","bdp_wmem","Tue Mar 14 2023 13:21:03 GMT-0400 (Eastern Daylight Time)","607202","Match,No Match","image-keyboard-response","3","7308","0.0-3.0-0.0","","1385","","","","32","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_wmem","Tue Mar 14 2023 13:21:03 GMT-0400 (Eastern Daylight Time)","607202","Match,No Match","instructions","4","69036","0.0-4.0","[{""page_index"":0,""viewing_time"":7358},{""page_index"":1,""viewing_time"":3694},{""page_index"":0,""viewing_time"":5168},{""page_index"":1,""viewing_time"":32636},{""page_index"":2,""viewing_time"":6497},{""page_index"":3,""viewing_time"":2472},{""page_index"":4,""viewing_time"":3647}]","61472","","","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_wmem","Tue Mar 14 2023 13:21:03 GMT-0400 (Eastern Daylight Time)","607202","Match,No Match","html-keyboard-response","5","69544","0.0-5.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_wmem","Tue Mar 14 2023 13:21:03 GMT-0400 (Eastern Daylight Time)","607202","Match,No Match","html-keyboard-response","6","71051","0.0-5.0-2.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw078.bmp","0","noMatchFace","i","1500","","","","",""
