"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"focus","0","0","focusevent","5bb94dea3ea7ed00017cb109","bdp_wmem","Mon Mar 13 2023 00:18:46 GMT-0400 (Eastern Daylight Time)","1032411","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","5bb94dea3ea7ed00017cb109","bdp_wmem","Mon Mar 13 2023 00:18:46 GMT-0400 (Eastern Daylight Time)","1032411","Match,No Match","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","","","",""
"blur","1","249055","blurevent","5bb94dea3ea7ed00017cb109","bdp_wmem","Mon Mar 13 2023 00:18:46 GMT-0400 (Eastern Daylight Time)","1032411","Match,No Match","","","","","1","","","","","","","","","","","","","","","","",""
"focus","1","345770","focusevent","5bb94dea3ea7ed00017cb109","bdp_wmem","Mon Mar 13 2023 00:18:46 GMT-0400 (Eastern Daylight Time)","1032411","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","5bb94dea3ea7ed00017cb109","bdp_wmem","Mon Mar 13 2023 00:18:46 GMT-0400 (Eastern Daylight Time)","1032411","Match,No Match","instructions","1","347215","0.0-1.0","","[{""page_index"":0,""viewing_time"":347213}]","347213","","","","","","","","","","","","","","",""
"fullscreenexit","2","349021","fullscreenexit","5bb94dea3ea7ed00017cb109","bdp_wmem","Mon Mar 13 2023 00:18:46 GMT-0400 (Eastern Daylight Time)","1032411","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"","","","","5bb94dea3ea7ed00017cb109","bdp_wmem","Mon Mar 13 2023 00:18:46 GMT-0400 (Eastern Daylight Time)","1032411","Match,No Match","fullscreen","2","349829","0.0-2.0","","","","true","","","","","","","","","","","","","",""
"","","","fullscreenfail","5bb94dea3ea7ed00017cb109","bdp_wmem","Mon Mar 13 2023 00:18:46 GMT-0400 (Eastern Daylight Time)","1032411","Match,No Match","image-keyboard-response","3","350285","0.0-3.0-0.0","","","456","","","32","","","","","","","","","","","",""
"","","","","5bb94dea3ea7ed00017cb109","bdp_wmem","Mon Mar 13 2023 00:18:46 GMT-0400 (Eastern Daylight Time)","1032411","Match,No Match","instructions","4","518790","0.0-4.0","","[{""page_index"":0,""viewing_time"":31217},{""page_index"":1,""viewing_time"":60075},{""page_index"":2,""viewing_time"":11773},{""page_index"":3,""viewing_time"":8224},{""page_index"":4,""viewing_time"":56962}]","168251","","","","","","","","","","","","","","",""
"","","","","5bb94dea3ea7ed00017cb109","bdp_wmem","Mon Mar 13 2023 00:18:46 GMT-0400 (Eastern Daylight Time)","1032411","Match,No Match","html-keyboard-response","5","519304","0.0-5.0-1.0","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","5bb94dea3ea7ed00017cb109","bdp_wmem","Mon Mar 13 2023 00:18:46 GMT-0400 (Eastern Daylight Time)","1032411","Match,No Match","html-keyboard-response","6","522310","0.0-5.0-2.0","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw010.bmp","0,1","Match","e","3000","","","","",""
"","","","","5bb94dea3ea7ed00017cb109","bdp_wmem","Mon Mar 13 2023 00:18:46 GMT-0400 (Eastern Daylight Time)","1032411","Match,No Match","html-keyboard-response","7","526317","0.0-5.0-3.0","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","5bb94dea3ea7ed00017cb109","bdp_wmem","Mon Mar 13 2023 00:18:46 GMT-0400 (Eastern Daylight Time)","1032411","Match,No Match","html-keyboard-response","8","527968","0.0-5.0-4.0","","","1650","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw010.bmp","0,1","Match","e","3000","trustrating_stim/white_mw010.bmp","green","Share","PRACTICE","1"
