"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","2","0.0-0.0","5e7fb4743c00ce69510024fb","bdp_wmem","Tue Mar 14 2023 20:18:07 GMT-0500 (Central Daylight Time)","562808","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"","","","","5e7fb4743c00ce69510024fb","bdp_wmem","Tue Mar 14 2023 20:18:07 GMT-0500 (Central Daylight Time)","562808","Match,No Match","focus","1","13382","focusevent","","","","","","","","","","","","","","","","",""
"instructions","1","15022","0.0-1.0","5e7fb4743c00ce69510024fb","bdp_wmem","Tue Mar 14 2023 20:18:07 GMT-0500 (Central Daylight Time)","562808","Match,No Match","","","","","[{""page_index"":0,""viewing_time"":15020}]","15020","","","","","","","","","","","","","","",""
"","","","","5e7fb4743c00ce69510024fb","bdp_wmem","Tue Mar 14 2023 20:18:07 GMT-0500 (Central Daylight Time)","562808","Match,No Match","fullscreenexit","2","18244","fullscreenexit","","","","","","","","","","","","","","","","",""
"fullscreen","2","19018","0.0-2.0","5e7fb4743c00ce69510024fb","bdp_wmem","Tue Mar 14 2023 20:18:07 GMT-0500 (Central Daylight Time)","562808","Match,No Match","","","","","","","true","","","","","","","","","","","","","",""
"image-keyboard-response","3","26617","0.0-3.0-0.0","5e7fb4743c00ce69510024fb","bdp_wmem","Tue Mar 14 2023 20:18:07 GMT-0500 (Central Daylight Time)","562808","Match,No Match","","","","fullscreenfail","","7596","","","32","","","","","","","","","","","",""
"instructions","4","36166","0.0-4.0","5e7fb4743c00ce69510024fb","bdp_wmem","Tue Mar 14 2023 20:18:07 GMT-0500 (Central Daylight Time)","562808","Match,No Match","","","","","[{""page_index"":0,""viewing_time"":2277},{""page_index"":1,""viewing_time"":3154},{""page_index"":2,""viewing_time"":1202},{""page_index"":3,""viewing_time"":787},{""page_index"":4,""viewing_time"":1876}]","9297","","","","","","","","","","","","","","",""
"html-keyboard-response","5","36671","0.0-5.0-1.0","5e7fb4743c00ce69510024fb","bdp_wmem","Tue Mar 14 2023 20:18:07 GMT-0500 (Central Daylight Time)","562808","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","6","39674","0.0-5.0-2.0","5e7fb4743c00ce69510024fb","bdp_wmem","Tue Mar 14 2023 20:18:07 GMT-0500 (Central Daylight Time)","562808","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw085.bmp","0,1","noMatchOutcome","i","3000","","","","",""
"html-keyboard-response","7","43677","0.0-5.0-3.0","5e7fb4743c00ce69510024fb","bdp_wmem","Tue Mar 14 2023 20:18:07 GMT-0500 (Central Daylight Time)","562808","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
