"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","2","0.0-0.0","610075c1ef04d1f734032f69","bdp_wmem","Tue Mar 14 2023 00:41:26 GMT-0400 (Eastern Daylight Time)","548810","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","4649","0.0-1.0","610075c1ef04d1f734032f69","bdp_wmem","Tue Mar 14 2023 00:41:26 GMT-0400 (Eastern Daylight Time)","548810","Match,No Match","[{""page_index"":0,""viewing_time"":4647}]","4647","","","","","","","","","","","","","","","","","","","",""
"","","","","610075c1ef04d1f734032f69","bdp_wmem","Tue Mar 14 2023 00:41:26 GMT-0400 (Eastern Daylight Time)","548810","Match,No Match","","","fullscreenenter","2","5960","fullscreenenter","","","","","","","","","","","","","","","",""
"fullscreen","2","6946","0.0-2.0","610075c1ef04d1f734032f69","bdp_wmem","Tue Mar 14 2023 00:41:26 GMT-0400 (Eastern Daylight Time)","548810","Match,No Match","","","","","","","true","","","","","","","","","","","","","","",""
"","","","","610075c1ef04d1f734032f69","bdp_wmem","Tue Mar 14 2023 00:41:26 GMT-0400 (Eastern Daylight Time)","548810","Match,No Match","","","blur","3","19836","blurevent","","1","","","","","","","","","","","","","",""
"","","","","610075c1ef04d1f734032f69","bdp_wmem","Tue Mar 14 2023 00:41:26 GMT-0400 (Eastern Daylight Time)","548810","Match,No Match","","","focus","3","21004","focusevent","","","","","","","","","","","","","","","",""
"instructions","3","46620","0.0-4.0","610075c1ef04d1f734032f69","bdp_wmem","Tue Mar 14 2023 00:41:26 GMT-0400 (Eastern Daylight Time)","548810","Match,No Match","[{""page_index"":0,""viewing_time"":14643},{""page_index"":1,""viewing_time"":16541},{""page_index"":2,""viewing_time"":6156},{""page_index"":3,""viewing_time"":1746},{""page_index"":4,""viewing_time"":584}]","39670","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","47124","0.0-5.0-1.0","610075c1ef04d1f734032f69","bdp_wmem","Tue Mar 14 2023 00:41:26 GMT-0400 (Eastern Daylight Time)","548810","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","51628","0.0-5.0-2.0","610075c1ef04d1f734032f69","bdp_wmem","Tue Mar 14 2023 00:41:26 GMT-0400 (Eastern Daylight Time)","548810","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw040.bmp","0,1,1","Match","e","4500","","","","",""
"html-keyboard-response","6","55631","0.0-5.0-3.0","610075c1ef04d1f734032f69","bdp_wmem","Tue Mar 14 2023 00:41:26 GMT-0400 (Eastern Daylight Time)","548810","Match,No Match","","null","","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
