"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"blur","0","0","blurevent","1","5c59d8105bbd810001fb26de","bdp_bc","Sun Mar 26 2023 11:03:13 GMT-0500 (Central Daylight Time)","580946","","","","","","","","","","","","","",""
"","","","","","5c59d8105bbd810001fb26de","bdp_bc","Sun Mar 26 2023 11:03:13 GMT-0500 (Central Daylight Time)","580946","pavlovia","0","15","0.0-0.0","","","","","","","","","",""
"focus","1","2101","focusevent","","5c59d8105bbd810001fb26de","bdp_bc","Sun Mar 26 2023 11:03:13 GMT-0500 (Central Daylight Time)","580946","","","","","","","","","","","","","",""
"","","","","","5c59d8105bbd810001fb26de","bdp_bc","Sun Mar 26 2023 11:03:13 GMT-0500 (Central Daylight Time)","580946","instructions","1","7139","0.0-1.0","[{""page_index"":0,""viewing_time"":7123}]","7123","","","","","","","",""
"fullscreenenter","2","104498","fullscreenenter","","5c59d8105bbd810001fb26de","bdp_bc","Sun Mar 26 2023 11:03:13 GMT-0500 (Central Daylight Time)","580946","","","","","","","","","","","","","",""
"","","","","","5c59d8105bbd810001fb26de","bdp_bc","Sun Mar 26 2023 11:03:13 GMT-0500 (Central Daylight Time)","580946","fullscreen","2","105447","0.0-2.0","","","true","","","","","","",""
"blur","3","185666","blurevent","2","5c59d8105bbd810001fb26de","bdp_bc","Sun Mar 26 2023 11:03:13 GMT-0500 (Central Daylight Time)","580946","","","","","","","","","","","","","",""
"focus","3","292754","focusevent","","5c59d8105bbd810001fb26de","bdp_bc","Sun Mar 26 2023 11:03:13 GMT-0500 (Central Daylight Time)","580946","","","","","","","","","","","","","",""
"","","","","","5c59d8105bbd810001fb26de","bdp_bc","Sun Mar 26 2023 11:03:13 GMT-0500 (Central Daylight Time)","580946","instructions","3","458885","0.0-4.0","[{""page_index"":0,""viewing_time"":187689},{""page_index"":1,""viewing_time"":4504},{""page_index"":2,""viewing_time"":5348},{""page_index"":3,""viewing_time"":6341},{""page_index"":4,""viewing_time"":3062},{""page_index"":5,""viewing_time"":1704},{""page_index"":6,""viewing_time"":2906},{""page_index"":7,""viewing_time"":141883}]","353437","","","","","","","",""
"","","","blurwarn","2","5c59d8105bbd810001fb26de","bdp_bc","Sun Mar 26 2023 11:03:13 GMT-0500 (Central Daylight Time)","580946","image-keyboard-response","4","467624","0.0-5.0-0.0-0.0","","8736","","","49","","","","",""
"","","","decision","","5c59d8105bbd810001fb26de","bdp_bc","Sun Mar 26 2023 11:03:13 GMT-0500 (Central Daylight Time)","580946","html-slider-response","5","478321","0.0-5.0-1.0","","10442","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","50","your acquaintances","3/4 or 75%","","50"
"","","","decision","","5c59d8105bbd810001fb26de","bdp_bc","Sun Mar 26 2023 11:03:13 GMT-0500 (Central Daylight Time)","580946","html-slider-response","6","486093","0.0-5.0-1.1","","7767","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","24","other prolific workers","1/2 or 50%","","50"
