"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"pavlovia","0","2","0.0-0.0","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","","","","","","","","","","",""
"","","","","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","focus","1","372","focusevent","","","","","","","","","",""
"instructions","1","1546","0.0-1.0","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","","[{""page_index"":0,""viewing_time"":1542}]","1543","","","","","","","",""
"","","","","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","fullscreenexit","2","3441","fullscreenexit","","","","","","","","","",""
"fullscreen","2","4231","0.0-2.0","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","","","","true","","","","","","",""
"image-keyboard-response","3","5473","0.0-3.0-0.0","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","fullscreenfail","","1239","","","32","","","","",""
"instructions","4","97075","0.0-4.0","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","","[{""page_index"":0,""viewing_time"":18031},{""page_index"":1,""viewing_time"":16426},{""page_index"":2,""viewing_time"":15376},{""page_index"":3,""viewing_time"":9175},{""page_index"":4,""viewing_time"":14444},{""page_index"":5,""viewing_time"":2467},{""page_index"":6,""viewing_time"":2500},{""page_index"":7,""viewing_time"":12926}]","91346","","","","","","","",""
"html-slider-response","5","116486","0.0-5.0-1.0","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","decision","","19408","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","4","complete strangers","2/3 or 67%","","50"
"html-slider-response","6","126423","0.0-5.0-1.1","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","decision","","9935","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","1","your closest friends","1/3 or 33%","","50"
"html-slider-response","7","132680","0.0-5.0-1.2","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","decision","","6255","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","9","your acquaintances","1/2 or 50%","","50"
"html-slider-response","8","137376","0.0-5.0-1.3","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","decision","","4694","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","4","other prolific workers","1/4 or 25%","","50"
"html-slider-response","9","146386","0.0-5.0-1.4","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","decision","","9008","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","24","your high school classmates","3/4 or 75%","","50"
"instructions","10","151348","0.0-6.0","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","","[{""page_index"":0,""viewing_time"":4960}]","4960","","","","","","","",""
