"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"","","","simRating","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","html-slider-response","11","387086","0.0-7.0-1.0","","26409","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","6","your acquaintances","","",""
"","","","simRating","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","html-slider-response","12","391864","0.0-7.0-1.1","","4777","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","6","your high school classmates","","",""
"","","","simRating","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","html-slider-response","13","396809","0.0-7.0-1.2","","4944","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","2","complete strangers","","",""
"","","","simRating","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","html-slider-response","14","399179","0.0-7.0-1.3","","2369","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","8","your closest friends","","",""
"","","","simRating","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","html-slider-response","15","402688","0.0-7.0-1.4","","3508","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","3","other prolific workers","","",""
"","","","","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","instructions","16","406009","0.0-8.0","[{""page_index"":0,""viewing_time"":3321}]","3321","","","","","","","",""
"","","","abilRating","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","html-slider-response","17","425710","0.0-9.0-1.0","","19701","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","7","your closest friends","","",""
"","","","abilRating","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","html-slider-response","18","429792","0.0-9.0-1.1","","4081","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","3","other prolific workers","","",""
"","","","abilRating","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","html-slider-response","19","431658","0.0-9.0-1.2","","1864","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","3","complete strangers","","",""
"","","","abilRating","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","html-slider-response","20","435751","0.0-9.0-1.3","","4093","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","4","your high school classmates","","",""
"","","","abilRating","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","html-slider-response","21","438371","0.0-9.0-1.4","","2619","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","5","your acquaintances","","",""
"fullscreenexit","22","438376","fullscreenexit","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","","","","","","","","","","","","","",""
"","","","","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","fullscreen","22","439372","0.0-10.0","","","true","","","","","","",""
"","","","","","","","","","html-keyboard-response","23","439874","0.0-11.0","","null","","","null","","","","",""
