"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"focus","0","0","focusevent","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","pavlovia","0","4","0.0-0.0","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","instructions","1","1548","0.0-1.0","[{""page_index"":0,""viewing_time"":1543}]","1543","","","","","","","","",""
"blur","2","4943","blurevent","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","","","","","","","1","","","","","","","",""
"focus","2","4955","focusevent","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","","","","","","","","","","","","","","",""
"fullscreenexit","2","4960","fullscreenexit","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","fullscreen","2","5726","0.0-2.0","","","","true","","","","","","",""
"","","","fullscreenfail","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","image-keyboard-response","3","6497","0.0-3.0-0.0","","767","","","","32","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","instructions","4","40360","0.0-4.0","[{""page_index"":0,""viewing_time"":890},{""page_index"":1,""viewing_time"":899},{""page_index"":2,""viewing_time"":6323},{""page_index"":3,""viewing_time"":7067},{""page_index"":4,""viewing_time"":10000},{""page_index"":5,""viewing_time"":4646},{""page_index"":6,""viewing_time"":2318},{""page_index"":7,""viewing_time"":1462}]","33606","","","","","","","","",""
"","","","blurwarn","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","image-keyboard-response","5","41843","0.0-5.0-0.0-0.0","","1480","1","","","49","","","","",""
"","","","decision","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","html-slider-response","6","83351","0.0-5.0-1.0","","41248","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","24","other prolific workers","1/4 or 25%","","50"
"","","","decision","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","html-slider-response","7","91002","0.0-5.0-1.1","","7645","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","70","your high school classmates","2/3 or 67%","","50"
"","","","decision","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","html-slider-response","8","95249","0.0-5.0-1.2","","4244","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","89","your acquaintances","1/2 or 50%","","50"
"","","","decision","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","html-slider-response","9","97949","0.0-5.0-1.3","","2697","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","91","your closest friends","3/4 or 75%","","50"
