"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"focus","0","0","focusevent","61103c2b7810420e5f23f437","bdp_bc","Sun Mar 26 2023 15:16:15 GMT-0500 (Central Daylight Time)","204457","","","","","","","","","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_bc","Sun Mar 26 2023 15:16:15 GMT-0500 (Central Daylight Time)","204457","pavlovia","0","2","0.0-0.0","","","","","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_bc","Sun Mar 26 2023 15:16:15 GMT-0500 (Central Daylight Time)","204457","instructions","1","4738","0.0-1.0","[{""page_index"":0,""viewing_time"":4735}]","4735","","","","","","","",""
"fullscreenexit","2","6127","fullscreenexit","61103c2b7810420e5f23f437","bdp_bc","Sun Mar 26 2023 15:16:15 GMT-0500 (Central Daylight Time)","204457","","","","","","","","","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_bc","Sun Mar 26 2023 15:16:15 GMT-0500 (Central Daylight Time)","204457","fullscreen","2","7123","0.0-2.0","","","true","","","","","","",""
"","","","fullscreenfail","61103c2b7810420e5f23f437","bdp_bc","Sun Mar 26 2023 15:16:15 GMT-0500 (Central Daylight Time)","204457","image-keyboard-response","3","7732","0.0-3.0-0.0","","607","","","32","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_bc","Sun Mar 26 2023 15:16:15 GMT-0500 (Central Daylight Time)","204457","instructions","4","123540","0.0-4.0","[{""page_index"":0,""viewing_time"":27018},{""page_index"":1,""viewing_time"":24511},{""page_index"":2,""viewing_time"":18539},{""page_index"":3,""viewing_time"":7770},{""page_index"":4,""viewing_time"":13948},{""page_index"":5,""viewing_time"":9013},{""page_index"":6,""viewing_time"":3671},{""page_index"":7,""viewing_time"":11081}]","115551","","","","","","","",""
"","","","decision","61103c2b7810420e5f23f437","bdp_bc","Sun Mar 26 2023 15:16:15 GMT-0500 (Central Daylight Time)","204457","html-slider-response","5","140057","0.0-5.0-1.0","","16514","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","19","other prolific workers","1/3 or 33%","","50"
"","","","decision","61103c2b7810420e5f23f437","bdp_bc","Sun Mar 26 2023 15:16:15 GMT-0500 (Central Daylight Time)","204457","html-slider-response","6","151697","0.0-5.0-1.1","","11639","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","13","complete strangers","2/3 or 67%","","50"
"","","","decision","61103c2b7810420e5f23f437","bdp_bc","Sun Mar 26 2023 15:16:15 GMT-0500 (Central Daylight Time)","204457","html-slider-response","7","156284","0.0-5.0-1.2","","4586","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","8","your acquaintances","1/4 or 25%","","50"
