"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"focus","0","0","focusevent","6156a0460b95fa57be8312c4","bdp_bc","Wed Mar 29 2023 01:23:19 GMT-0700 (Pacific Daylight Time)","264894","","","","","","","","","","","","","",""
"","","","","6156a0460b95fa57be8312c4","bdp_bc","Wed Mar 29 2023 01:23:19 GMT-0700 (Pacific Daylight Time)","264894","pavlovia","0","2","0.0-0.0","","","","","","","","","",""
"","","","","6156a0460b95fa57be8312c4","bdp_bc","Wed Mar 29 2023 01:23:19 GMT-0700 (Pacific Daylight Time)","264894","instructions","1","2766","0.0-1.0","[{""page_index"":0,""viewing_time"":2764}]","2764","","","","","","","",""
"fullscreenexit","2","7017","fullscreenexit","6156a0460b95fa57be8312c4","bdp_bc","Wed Mar 29 2023 01:23:19 GMT-0700 (Pacific Daylight Time)","264894","","","","","","","","","","","","","",""
"","","","","6156a0460b95fa57be8312c4","bdp_bc","Wed Mar 29 2023 01:23:19 GMT-0700 (Pacific Daylight Time)","264894","fullscreen","2","8017","0.0-2.0","","","true","","","","","","",""
"","","","fullscreenfail","6156a0460b95fa57be8312c4","bdp_bc","Wed Mar 29 2023 01:23:19 GMT-0700 (Pacific Daylight Time)","264894","image-keyboard-response","3","11430","0.0-3.0-0.0","","3411","","","32","","","","",""
"","","","","6156a0460b95fa57be8312c4","bdp_bc","Wed Mar 29 2023 01:23:19 GMT-0700 (Pacific Daylight Time)","264894","instructions","4","134367","0.0-4.0","[{""page_index"":0,""viewing_time"":13839},{""page_index"":1,""viewing_time"":12005},{""page_index"":0,""viewing_time"":19760},{""page_index"":1,""viewing_time"":557},{""page_index"":2,""viewing_time"":16821},{""page_index"":3,""viewing_time"":19107},{""page_index"":4,""viewing_time"":163},{""page_index"":5,""viewing_time"":2350},{""page_index"":6,""viewing_time"":31151},{""page_index"":7,""viewing_time"":6919}]","122673","","","","","","","",""
"","","","decision","6156a0460b95fa57be8312c4","bdp_bc","Wed Mar 29 2023 01:23:19 GMT-0700 (Pacific Daylight Time)","264894","html-slider-response","5","169923","0.0-5.0-1.0","","35555","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","35","complete strangers","1/2 or 50%","","50"
"","","","decision","6156a0460b95fa57be8312c4","bdp_bc","Wed Mar 29 2023 01:23:19 GMT-0700 (Pacific Daylight Time)","264894","html-slider-response","6","179183","0.0-5.0-1.1","","9259","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","14","your acquaintances","3/4 or 75%","","50"
"","","","decision","6156a0460b95fa57be8312c4","bdp_bc","Wed Mar 29 2023 01:23:19 GMT-0700 (Pacific Daylight Time)","264894","html-slider-response","7","186273","0.0-5.0-1.2","","7088","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","4","your closest friends","1/3 or 33%","","50"
"","","","decision","6156a0460b95fa57be8312c4","bdp_bc","Wed Mar 29 2023 01:23:19 GMT-0700 (Pacific Daylight Time)","264894","html-slider-response","8","195267","0.0-5.0-1.3","","8994","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","11","your high school classmates","1/4 or 25%","","50"
