"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"focus","0","0","focusevent","5bb94dea3ea7ed00017cb109","bdp_bc","Sat Mar 25 2023 19:50:52 GMT-0400 (Eastern Daylight Time)","209029","","","","","","","","","","","","","",""
"","","","","5bb94dea3ea7ed00017cb109","bdp_bc","Sat Mar 25 2023 19:50:52 GMT-0400 (Eastern Daylight Time)","209029","pavlovia","0","2","0.0-0.0","","","","","","","","","",""
"","","","","5bb94dea3ea7ed00017cb109","bdp_bc","Sat Mar 25 2023 19:50:52 GMT-0400 (Eastern Daylight Time)","209029","instructions","1","1785","0.0-1.0","[{""page_index"":0,""viewing_time"":1782}]","1782","","","","","","","",""
"fullscreenexit","2","4693","fullscreenexit","5bb94dea3ea7ed00017cb109","bdp_bc","Sat Mar 25 2023 19:50:52 GMT-0400 (Eastern Daylight Time)","209029","","","","","","","","","","","","","",""
"","","","","5bb94dea3ea7ed00017cb109","bdp_bc","Sat Mar 25 2023 19:50:52 GMT-0400 (Eastern Daylight Time)","209029","fullscreen","2","5494","0.0-2.0","","","true","","","","","","",""
"","","","fullscreenfail","5bb94dea3ea7ed00017cb109","bdp_bc","Sat Mar 25 2023 19:50:52 GMT-0400 (Eastern Daylight Time)","209029","image-keyboard-response","3","6382","0.0-3.0-0.0","","886","","","32","","","","",""
"","","","","5bb94dea3ea7ed00017cb109","bdp_bc","Sat Mar 25 2023 19:50:52 GMT-0400 (Eastern Daylight Time)","209029","instructions","4","102857","0.0-4.0","[{""page_index"":0,""viewing_time"":22378},{""page_index"":1,""viewing_time"":17601},{""page_index"":2,""viewing_time"":14004},{""page_index"":3,""viewing_time"":17150},{""page_index"":4,""viewing_time"":7482},{""page_index"":5,""viewing_time"":2627},{""page_index"":6,""viewing_time"":1793},{""page_index"":7,""viewing_time"":13188}]","96223","","","","","","","",""
"","","","decision","5bb94dea3ea7ed00017cb109","bdp_bc","Sat Mar 25 2023 19:50:52 GMT-0400 (Eastern Daylight Time)","209029","html-slider-response","5","115204","0.0-5.0-1.0","","12344","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","19","other prolific workers","1/2 or 50%","","50"
"","","","decision","5bb94dea3ea7ed00017cb109","bdp_bc","Sat Mar 25 2023 19:50:52 GMT-0400 (Eastern Daylight Time)","209029","html-slider-response","6","125686","0.0-5.0-1.1","","10481","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","61","your closest friends","2/3 or 67%","","50"
"","","","decision","5bb94dea3ea7ed00017cb109","bdp_bc","Sat Mar 25 2023 19:50:52 GMT-0400 (Eastern Daylight Time)","209029","html-slider-response","7","133718","0.0-5.0-1.2","","8031","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","29","your high school classmates","1/4 or 25%","","50"
