"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"focus","0","0","focusevent","632aaef27780d596dc7e0a9f","bdp_bc","Wed Mar 29 2023 15:05:25 GMT-0500 (Central Daylight Time)","411959","","","","","","","","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_bc","Wed Mar 29 2023 15:05:25 GMT-0500 (Central Daylight Time)","411959","pavlovia","0","7","0.0-0.0","","","","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_bc","Wed Mar 29 2023 15:05:25 GMT-0500 (Central Daylight Time)","411959","instructions","1","3791","0.0-1.0","[{""page_index"":0,""viewing_time"":3783}]","3783","","","","","","","",""
"fullscreenexit","2","5762","fullscreenexit","632aaef27780d596dc7e0a9f","bdp_bc","Wed Mar 29 2023 15:05:25 GMT-0500 (Central Daylight Time)","411959","","","","","","","","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_bc","Wed Mar 29 2023 15:05:25 GMT-0500 (Central Daylight Time)","411959","fullscreen","2","6555","0.0-2.0","","","true","","","","","","",""
"","","","fullscreenfail","632aaef27780d596dc7e0a9f","bdp_bc","Wed Mar 29 2023 15:05:25 GMT-0500 (Central Daylight Time)","411959","image-keyboard-response","3","7232","0.0-3.0-0.0","","674","","","32","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_bc","Wed Mar 29 2023 15:05:25 GMT-0500 (Central Daylight Time)","411959","instructions","4","202269","0.0-4.0","[{""page_index"":0,""viewing_time"":36444},{""page_index"":1,""viewing_time"":34902},{""page_index"":2,""viewing_time"":32040},{""page_index"":3,""viewing_time"":15168},{""page_index"":4,""viewing_time"":30305},{""page_index"":5,""viewing_time"":4391},{""page_index"":6,""viewing_time"":13743},{""page_index"":7,""viewing_time"":27784}]","194777","","","","","","","",""
"","","","decision","632aaef27780d596dc7e0a9f","bdp_bc","Wed Mar 29 2023 15:05:25 GMT-0500 (Central Daylight Time)","411959","html-slider-response","5","239745","0.0-5.0-1.0","","34581","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","14","other prolific workers","1/2 or 50%","","50"
"","","","decision","632aaef27780d596dc7e0a9f","bdp_bc","Wed Mar 29 2023 15:05:25 GMT-0500 (Central Daylight Time)","411959","html-slider-response","6","266185","0.0-5.0-1.1","","26437","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","9","your acquaintances","1/3 or 33%","","50"
"","","","decision","632aaef27780d596dc7e0a9f","bdp_bc","Wed Mar 29 2023 15:05:25 GMT-0500 (Central Daylight Time)","411959","html-slider-response","7","273704","0.0-5.0-1.2","","7518","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","14","your high school classmates","2/3 or 67%","","50"
