"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"focus","0","0","focusevent","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","","","","","","","","","","","","","",""
"","","","","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","pavlovia","0","8","0.0-0.0","","","","","","","","","",""
"","","","","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","instructions","1","4185","0.0-1.0","[{""page_index"":0,""viewing_time"":4175}]","4176","","","","","","","",""
"fullscreenexit","2","8725","fullscreenexit","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","","","","","","","","","","","","","",""
"","","","","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","fullscreen","2","9729","0.0-2.0","","","true","","","","","","",""
"","","","fullscreenfail","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","image-keyboard-response","3","10501","0.0-3.0-0.0","","766","","","32","","","","",""
"","","","","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","instructions","4","353356","0.0-4.0","[{""page_index"":0,""viewing_time"":98356},{""page_index"":1,""viewing_time"":72144},{""page_index"":2,""viewing_time"":57153},{""page_index"":3,""viewing_time"":34520},{""page_index"":4,""viewing_time"":31137},{""page_index"":5,""viewing_time"":16834},{""page_index"":6,""viewing_time"":10218},{""page_index"":7,""viewing_time"":22233}]","342595","","","","","","","",""
"","","","decision","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","html-slider-response","5","391762","0.0-5.0-1.0","","38398","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","14","your acquaintances","1/3 or 33%","","50"
"","","","decision","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","html-slider-response","6","412258","0.0-5.0-1.1","","20493","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","23","your closest friends","2/3 or 67%","","50"
"","","","decision","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","html-slider-response","7","430052","0.0-5.0-1.2","","17789","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","13","your high school classmates","1/4 or 25%","","50"
"","","","decision","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","html-slider-response","8","441891","0.0-5.0-1.3","","11832","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","25","complete strangers","1/2 or 50%","","50"
"","","","decision","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","html-slider-response","9","458010","0.0-5.0-1.4","","16117","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","35","other prolific workers","3/4 or 75%","","50"
"","","","","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","instructions","10","467500","0.0-6.0","[{""page_index"":0,""viewing_time"":9488}]","9488","","","","","","","",""
"","","","simRating","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","html-slider-response","11","475466","0.0-7.0-1.0","","7964","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","3","your high school classmates","","",""
"","","","simRating","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","html-slider-response","12","486828","0.0-7.0-1.1","","11357","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","6","other prolific workers","","",""
"","","","simRating","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","html-slider-response","13","490451","0.0-7.0-1.2","","3620","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","5","complete strangers","","",""
"","","","simRating","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","html-slider-response","14","495242","0.0-7.0-1.3","","4789","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","7","your acquaintances","","",""
"","","","simRating","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","html-slider-response","15","499626","0.0-7.0-1.4","","4381","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","8","your closest friends","","",""
"","","","","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","instructions","16","504508","0.0-8.0","[{""page_index"":0,""viewing_time"":4880}]","4880","","","","","","","",""
"","","","abilRating","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","html-slider-response","17","508042","0.0-9.0-1.0","","3533","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","5","other prolific workers","","",""
"","","","abilRating","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","html-slider-response","18","511538","0.0-9.0-1.1","","3493","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","6","your acquaintances","","",""
"","","","abilRating","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","html-slider-response","19","515394","0.0-9.0-1.2","","3854","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","7","your closest friends","","",""
"","","","abilRating","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","html-slider-response","20","522506","0.0-9.0-1.3","","7109","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","4","complete strangers","","",""
"","","","abilRating","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","html-slider-response","21","525146","0.0-9.0-1.4","","2637","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","5","your high school classmates","","",""
"fullscreenexit","22","525169","fullscreenexit","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","","","","","","","","","","","","","",""
"","","","","631b428359f449b8159625f8","bdp_bc","Mon Mar 27 2023 10:42:19 GMT-0400 (Eastern Daylight Time)","526160","fullscreen","22","526159","0.0-10.0","","","true","","","","","","",""
"","","","","","","","","html-keyboard-response","23","526661","0.0-11.0","","null","","","null","","","","",""
