"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"html-slider-response","11","265449","0.0-7.0-1.0","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","simRating","","","2532","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","4","your closest friends","","",""
"html-slider-response","12","267389","0.0-7.0-1.1","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","simRating","","","1939","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","6","your acquaintances","","",""
"html-slider-response","13","269313","0.0-7.0-1.2","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","simRating","","","1922","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","7","your high school classmates","","",""
"html-slider-response","14","271113","0.0-7.0-1.3","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","simRating","","","1799","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","4","complete strangers","","",""
"html-slider-response","15","272973","0.0-7.0-1.4","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","simRating","","","1859","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","6","other prolific workers","","",""
"instructions","16","274369","0.0-8.0","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","","","[{""page_index"":0,""viewing_time"":1395}]","1395","","","","","","","",""
"html-slider-response","17","276409","0.0-9.0-1.0","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","abilRating","","","2039","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","6","other prolific workers","","",""
"html-slider-response","18","279005","0.0-9.0-1.1","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","abilRating","","","2594","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","7","complete strangers","","",""
"html-slider-response","19","280629","0.0-9.0-1.2","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","abilRating","","","1623","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","4","your acquaintances","","",""
"html-slider-response","20","282497","0.0-9.0-1.3","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","abilRating","","","1867","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","6","your closest friends","","",""
"html-slider-response","21","284285","0.0-9.0-1.4","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","abilRating","","","1787","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","7","your high school classmates","","",""
"","","","","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","fullscreenexit","22","284301","fullscreenexit","","","","","","","","","","",""
"fullscreen","22","285286","0.0-10.0","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","","","","","true","","","","","","",""
"html-keyboard-response","23","285788","0.0-11.0","","","","","","","","","","","null","","","null","","","","",""
