"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"pavlovia","0","4","0.0-0.0","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","","","","","","","","","","","",""
"","","","","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","blur","1","1783","blurevent","1","","","","","","","","","",""
"","","","","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","focus","1","10347","focusevent","","","","","","","","","","",""
"instructions","1","10910","0.0-1.0","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","","","[{""page_index"":0,""viewing_time"":10905}]","10905","","","","","","","",""
"","","","","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","fullscreenenter","2","11880","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","12864","0.0-2.0","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","","","","","true","","","","","","",""
"instructions","3","234858","0.0-4.0","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","","","[{""page_index"":0,""viewing_time"":2208},{""page_index"":1,""viewing_time"":4046},{""page_index"":2,""viewing_time"":6339},{""page_index"":3,""viewing_time"":2241},{""page_index"":4,""viewing_time"":199172},{""page_index"":5,""viewing_time"":3784},{""page_index"":6,""viewing_time"":2327},{""page_index"":7,""viewing_time"":1876}]","221993","","","","","","","",""
"image-keyboard-response","4","243166","0.0-5.0-0.0-0.0","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","blurwarn","1","","8305","","","49","","","","",""
"html-slider-response","5","246966","0.0-5.0-1.0","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","decision","","","3546","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","18","your closest friends","1/2 or 50%","","50"
"html-slider-response","6","249337","0.0-5.0-1.1","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","decision","","","2370","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","18","other prolific workers","2/3 or 67%","","50"
"html-slider-response","7","251378","0.0-5.0-1.2","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","decision","","","2038","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","66","your acquaintances","3/4 or 75%","","50"
"html-slider-response","8","253306","0.0-5.0-1.3","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","decision","","","1926","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","21","your high school classmates","1/3 or 33%","","50"
"html-slider-response","9","255509","0.0-5.0-1.4","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","decision","","","2202","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","58","complete strangers","1/4 or 25%","","50"
"instructions","10","262916","0.0-6.0","63d41088860131e49a85cfac","bdp_bc","Fri Mar 24 2023 19:47:41 GMT-0400 (Eastern Daylight Time)","285287","","","","","","[{""page_index"":0,""viewing_time"":7406}]","7406","","","","","","","",""
