"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"focus","0","0","focusevent","636598a7a571403968d03bf2","bdp_bc","Wed Mar 29 2023 18:50:04 GMT-0400 (Eastern Daylight Time)","179434","","","","","","","","","","","","","",""
"","","","","636598a7a571403968d03bf2","bdp_bc","Wed Mar 29 2023 18:50:04 GMT-0400 (Eastern Daylight Time)","179434","pavlovia","0","4","0.0-0.0","","","","","","","","","",""
"","","","","636598a7a571403968d03bf2","bdp_bc","Wed Mar 29 2023 18:50:04 GMT-0400 (Eastern Daylight Time)","179434","instructions","1","4140","0.0-1.0","[{""page_index"":0,""viewing_time"":4133}]","4134","","","","","","","",""
"fullscreenexit","2","7559","fullscreenexit","636598a7a571403968d03bf2","bdp_bc","Wed Mar 29 2023 18:50:04 GMT-0400 (Eastern Daylight Time)","179434","","","","","","","","","","","","","",""
"","","","","636598a7a571403968d03bf2","bdp_bc","Wed Mar 29 2023 18:50:04 GMT-0400 (Eastern Daylight Time)","179434","fullscreen","2","8345","0.0-2.0","","","true","","","","","","",""
"","","","fullscreenfail","636598a7a571403968d03bf2","bdp_bc","Wed Mar 29 2023 18:50:04 GMT-0400 (Eastern Daylight Time)","179434","image-keyboard-response","3","9946","0.0-3.0-0.0","","1596","","","32","","","","",""
"","","","","636598a7a571403968d03bf2","bdp_bc","Wed Mar 29 2023 18:50:04 GMT-0400 (Eastern Daylight Time)","179434","instructions","4","105875","0.0-4.0","[{""page_index"":0,""viewing_time"":30221},{""page_index"":1,""viewing_time"":8512},{""page_index"":2,""viewing_time"":6870},{""page_index"":3,""viewing_time"":18547},{""page_index"":4,""viewing_time"":9327},{""page_index"":5,""viewing_time"":11726},{""page_index"":6,""viewing_time"":5376},{""page_index"":7,""viewing_time"":5089}]","95668","","","","","","","",""
"","","","decision","636598a7a571403968d03bf2","bdp_bc","Wed Mar 29 2023 18:50:04 GMT-0400 (Eastern Daylight Time)","179434","html-slider-response","5","122907","0.0-5.0-1.0","","17026","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","22","your acquaintances","1/2 or 50%","","50"
"","","","decision","636598a7a571403968d03bf2","bdp_bc","Wed Mar 29 2023 18:50:04 GMT-0400 (Eastern Daylight Time)","179434","html-slider-response","6","127717","0.0-5.0-1.1","","4809","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","20","complete strangers","2/3 or 67%","","50"
"","","","decision","636598a7a571403968d03bf2","bdp_bc","Wed Mar 29 2023 18:50:04 GMT-0400 (Eastern Daylight Time)","179434","html-slider-response","7","130821","0.0-5.0-1.2","","3102","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","18","your closest friends","1/3 or 33%","","50"
