"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","numBlurs"
"pavlovia","0","9","0.0-0.0","","","","","","","",""
"instructions","1","8764","0.0-1.0","[{""page_index"":0,""viewing_time"":8754}]","8754","","","","","",""
"","","","","","","fullscreenenter","2","11030","fullscreenenter","",""
"fullscreen","2","11896","0.0-2.0","","","","","","","true",""
"","","","","","","fullscreenexit","3","20543","fullscreenexit","",""
"","","","","","","blur","3","25903","blurevent","","1"
"","","","","","","focus","3","25917","focusevent","",""
