"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"blur","0","0","blurevent","1","628dec55823f672331c68577","bdp_bc","Sat Mar 25 2023 23:54:45 GMT-0400 (Eastern Daylight Time)","231634","","","","","","","","","","","","","",""
"focus","0","0","focusevent","","628dec55823f672331c68577","bdp_bc","Sat Mar 25 2023 23:54:45 GMT-0400 (Eastern Daylight Time)","231634","","","","","","","","","","","","","",""
"","","","","","628dec55823f672331c68577","bdp_bc","Sat Mar 25 2023 23:54:45 GMT-0400 (Eastern Daylight Time)","231634","pavlovia","0","2","0.0-0.0","","","","","","","","","",""
"","","","","","628dec55823f672331c68577","bdp_bc","Sat Mar 25 2023 23:54:45 GMT-0400 (Eastern Daylight Time)","231634","instructions","1","1879","0.0-1.0","[{""page_index"":0,""viewing_time"":1877}]","1877","","","","","","","",""
"fullscreenenter","2","5010","fullscreenenter","","628dec55823f672331c68577","bdp_bc","Sat Mar 25 2023 23:54:45 GMT-0400 (Eastern Daylight Time)","231634","","","","","","","","","","","","","",""
"","","","","","628dec55823f672331c68577","bdp_bc","Sat Mar 25 2023 23:54:45 GMT-0400 (Eastern Daylight Time)","231634","fullscreen","2","5998","0.0-2.0","","","true","","","","","","",""
"","","","","","628dec55823f672331c68577","bdp_bc","Sat Mar 25 2023 23:54:45 GMT-0400 (Eastern Daylight Time)","231634","instructions","3","119669","0.0-4.0","[{""page_index"":0,""viewing_time"":32177},{""page_index"":1,""viewing_time"":40765},{""page_index"":2,""viewing_time"":20556},{""page_index"":3,""viewing_time"":2850},{""page_index"":4,""viewing_time"":2062},{""page_index"":5,""viewing_time"":1587},{""page_index"":6,""viewing_time"":2146},{""page_index"":7,""viewing_time"":11528}]","113671","","","","","","","",""
"","","","blurwarn","1","628dec55823f672331c68577","bdp_bc","Sat Mar 25 2023 23:54:45 GMT-0400 (Eastern Daylight Time)","231634","image-keyboard-response","4","134553","0.0-5.0-0.0-0.0","","14882","","","49","","","","",""
"","","","decision","","628dec55823f672331c68577","bdp_bc","Sat Mar 25 2023 23:54:45 GMT-0400 (Eastern Daylight Time)","231634","html-slider-response","5","151233","0.0-5.0-1.0","","16425","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","0","other prolific workers","2/3 or 67%","","50"
"","","","decision","","628dec55823f672331c68577","bdp_bc","Sat Mar 25 2023 23:54:45 GMT-0400 (Eastern Daylight Time)","231634","html-slider-response","6","153959","0.0-5.0-1.1","","2725","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","0","your high school classmates","1/4 or 25%","","50"
