"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"pavlovia","0","2","0.0-0.0","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","","","","","","","","","","","","","",""
"instructions","1","19891","0.0-1.0","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","[{""page_index"":0,""viewing_time"":19889}]","19889","","","","","","","","","","","","",""
"","","","","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","","fullscreenenter","2","23507","fullscreenenter","","","","","","","","",""
"fullscreen","2","24476","0.0-2.0","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","","","","","","true","","","","","","","",""
"","","","","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","","blur","3","260715","blurevent","","1","","","","","","",""
"","","","","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","","focus","3","260716","focusevent","","","","","","","","",""
"instructions","3","362734","0.0-4.0","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","[{""page_index"":0,""viewing_time"":115607},{""page_index"":1,""viewing_time"":25534},{""page_index"":2,""viewing_time"":26969},{""page_index"":3,""viewing_time"":7494},{""page_index"":4,""viewing_time"":3776},{""page_index"":5,""viewing_time"":6275},{""page_index"":6,""viewing_time"":2468},{""page_index"":7,""viewing_time"":150135}]","338258","","","","","","","","","","","","",""
"image-keyboard-response","4","371775","0.0-5.0-0.0-0.0","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","9040","","","","blurwarn","","1","","49","","","","",""
"html-slider-response","5","410617","0.0-5.0-1.0","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","38589","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","14","your acquaintances","3/4 or 75%","","50"
"html-slider-response","6","428764","0.0-5.0-1.1","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","18145","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","6","your high school classmates","1/4 or 25%","","50"
"html-slider-response","7","438413","0.0-5.0-1.2","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","9647","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","25","other prolific workers","1/2 or 50%","","50"
"html-slider-response","8","455633","0.0-5.0-1.3","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","17218","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","19","complete strangers","1/3 or 33%","","50"
"html-slider-response","9","465730","0.0-5.0-1.4","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","10095","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","40","your closest friends","2/3 or 67%","","50"
"instructions","10","472648","0.0-6.0","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","[{""page_index"":0,""viewing_time"":6918}]","6918","","","","","","","","","","","","",""
"html-slider-response","11","479866","0.0-7.0-1.0","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","7218","","","","simRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","6","your high school classmates","","",""
"html-slider-response","12","485039","0.0-7.0-1.1","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","5172","","","","simRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","7","other prolific workers","","",""
"html-slider-response","13","489659","0.0-7.0-1.2","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","4619","","","","simRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","5","your acquaintances","","",""
"html-slider-response","14","492445","0.0-7.0-1.3","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","2785","","","","simRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","4","complete strangers","","",""
"html-slider-response","15","499144","0.0-7.0-1.4","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","6699","","","","simRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","8","your closest friends","","",""
"instructions","16","504837","0.0-8.0","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","[{""page_index"":0,""viewing_time"":5691}]","5692","","","","","","","","","","","","",""
"html-slider-response","17","510314","0.0-9.0-1.0","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","5477","","","","abilRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","9","your closest friends","","",""
"html-slider-response","18","513260","0.0-9.0-1.1","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","2944","","","","abilRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","7","your acquaintances","","",""
"html-slider-response","19","516151","0.0-9.0-1.2","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","2890","","","","abilRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","7","other prolific workers","","",""
"html-slider-response","20","518795","0.0-9.0-1.3","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","2644","","","","abilRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","5","complete strangers","","",""
"html-slider-response","21","522755","0.0-9.0-1.4","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","3959","","","","abilRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","4","your high school classmates","","",""
"","","","","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","","fullscreenexit","22","522786","fullscreenexit","","","","","","","","",""
"fullscreen","22","523757","0.0-10.0","63210b26bd58960c97b47ddc","bdp_bc","Thu Apr 13 2023 11:35:53 GMT+0100 (British Summer Time)","523757","","","","","","","true","","","","","","","",""
"html-keyboard-response","23","524259","0.0-11.0","","","","","","null","","","","","","","","null","","","","",""
