"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"","","","decision","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","html-slider-response","8","52084","0.0-5.0-1.2","","4099","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","35","your closest friends","1/4 or 25%","","50"
"","","","decision","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","html-slider-response","9","60360","0.0-5.0-1.3","","8274","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","13","your acquaintances","3/4 or 75%","","50"
"","","","decision","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","html-slider-response","10","63217","0.0-5.0-1.4","","2854","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","63","complete strangers","1/3 or 33%","","50"
"","","","","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","instructions","11","65987","0.0-6.0","[{""page_index"":0,""viewing_time"":2768}]","2769","","","","","","","","",""
"","","","simRating","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","html-slider-response","12","66648","0.0-7.0-1.0","","661","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","5","your high school classmates","","",""
"","","","simRating","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","html-slider-response","13","72060","0.0-7.0-1.1","","5410","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","9","your acquaintances","","",""
"","","","simRating","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","html-slider-response","14","74775","0.0-7.0-1.2","","2710","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","7","other prolific workers","","",""
"","","","simRating","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","html-slider-response","15","76874","0.0-7.0-1.3","","2096","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","8","your closest friends","","",""
"","","","simRating","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","html-slider-response","16","78341","0.0-7.0-1.4","","1464","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","7","complete strangers","","",""
"","","","","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","instructions","17","79651","0.0-8.0","[{""page_index"":0,""viewing_time"":1309}]","1309","","","","","","","","",""
"","","","abilRating","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","html-slider-response","18","82858","0.0-9.0-1.0","","3204","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","6","your high school classmates","","",""
"","","","abilRating","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","html-slider-response","19","84515","0.0-9.0-1.1","","1654","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","7","other prolific workers","","",""
"","","","abilRating","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","html-slider-response","20","87290","0.0-9.0-1.2","","2774","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","8","your closest friends","","",""
"","","","abilRating","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","html-slider-response","21","90300","0.0-9.0-1.3","","3007","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","8","complete strangers","","",""
"","","","abilRating","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","html-slider-response","22","92750","0.0-9.0-1.4","","2448","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","6","your acquaintances","","",""
"blur","23","92978","blurevent","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","","","","","","","2","","","","","","","",""
"focus","23","93035","focusevent","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","","","","","","","","","","","","","","",""
"fullscreenexit","23","93119","fullscreenexit","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","fullscreen","23","93755","0.0-10.0","","","","true","","","","","","",""
"","","","","","","","","html-keyboard-response","24","94260","0.0-11.0","","null","","","","null","","","","",""
