"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"focus","0","0","focusevent","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","pavlovia","0","3","0.0-0.0","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","instructions","1","1892","0.0-1.0","[{""page_index"":0,""viewing_time"":1888}]","1888","","","","","","","","",""
"blur","2","4269","blurevent","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","","","","","","","1","","","","","","","",""
"focus","2","4322","focusevent","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","","","","","","","","","","","","","","",""
"fullscreenexit","2","4327","fullscreenexit","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","fullscreen","2","5047","0.0-2.0","","","","true","","","","","","",""
"","","","fullscreenfail","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","image-keyboard-response","3","6081","0.0-3.0-0.0","","1034","","","","32","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","instructions","4","31095","0.0-4.0","[{""page_index"":0,""viewing_time"":3716},{""page_index"":1,""viewing_time"":1386},{""page_index"":2,""viewing_time"":2578},{""page_index"":3,""viewing_time"":2056},{""page_index"":4,""viewing_time"":5835},{""page_index"":5,""viewing_time"":920},{""page_index"":6,""viewing_time"":2457},{""page_index"":7,""viewing_time"":5806}]","24756","","","","","","","","",""
"","","","blurwarn","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","image-keyboard-response","5","33320","0.0-5.0-0.0-0.0","","2220","1","","","49","","","","",""
"","","","decision","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","html-slider-response","6","44940","0.0-5.0-1.0","","11360","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","50","your high school classmates","1/2 or 50%","","50"
"","","","decision","5e654e2055e480000dcd002a","bdp_bc","Mon Mar 27 2023 15:50:25 GMT-0400 (Eastern Daylight Time)","93756","html-slider-response","7","47984","0.0-5.0-1.1","","3040","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","50","other prolific workers","2/3 or 67%","","50"
