"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"pavlovia","0","5","0.0-0.0","63d7a9346e833b93500723d4","bdp_bc","Sun Mar 26 2023 09:10:28 GMT-0400 (Eastern Daylight Time)","235526","","","","","","","","","","","","","","",""
"instructions","1","7269","0.0-1.0","63d7a9346e833b93500723d4","bdp_bc","Sun Mar 26 2023 09:10:28 GMT-0400 (Eastern Daylight Time)","235526","[{""page_index"":0,""viewing_time"":7263}]","7263","","","","","","","","","","","","",""
"","","","","63d7a9346e833b93500723d4","bdp_bc","Sun Mar 26 2023 09:10:28 GMT-0400 (Eastern Daylight Time)","235526","","","blur","2","11304","blurevent","1","","","","","","","",""
"","","","","63d7a9346e833b93500723d4","bdp_bc","Sun Mar 26 2023 09:10:28 GMT-0400 (Eastern Daylight Time)","235526","","","focus","2","13456","focusevent","","","","","","","","",""
"","","","","63d7a9346e833b93500723d4","bdp_bc","Sun Mar 26 2023 09:10:28 GMT-0400 (Eastern Daylight Time)","235526","","","fullscreenenter","2","14496","fullscreenenter","","","","","","","","",""
"fullscreen","2","15486","0.0-2.0","63d7a9346e833b93500723d4","bdp_bc","Sun Mar 26 2023 09:10:28 GMT-0400 (Eastern Daylight Time)","235526","","","","","","","","true","","","","","","",""
"instructions","3","129319","0.0-4.0","63d7a9346e833b93500723d4","bdp_bc","Sun Mar 26 2023 09:10:28 GMT-0400 (Eastern Daylight Time)","235526","[{""page_index"":0,""viewing_time"":18951},{""page_index"":1,""viewing_time"":21553},{""page_index"":2,""viewing_time"":36757},{""page_index"":3,""viewing_time"":8969},{""page_index"":4,""viewing_time"":3223},{""page_index"":5,""viewing_time"":7088},{""page_index"":6,""viewing_time"":3915},{""page_index"":7,""viewing_time"":13376}]","113832","","","","","","","","","","","","",""
"image-keyboard-response","4","139368","0.0-5.0-0.0-0.0","63d7a9346e833b93500723d4","bdp_bc","Sun Mar 26 2023 09:10:28 GMT-0400 (Eastern Daylight Time)","235526","","10046","","","","blurwarn","1","","","49","","","","",""
"html-slider-response","5","159973","0.0-5.0-1.0","63d7a9346e833b93500723d4","bdp_bc","Sun Mar 26 2023 09:10:28 GMT-0400 (Eastern Daylight Time)","235526","","20351","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","24","your high school classmates","1/4 or 25%","","50"
"html-slider-response","6","164292","0.0-5.0-1.1","63d7a9346e833b93500723d4","bdp_bc","Sun Mar 26 2023 09:10:28 GMT-0400 (Eastern Daylight Time)","235526","","4318","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","15","other prolific workers","1/3 or 33%","","50"
"html-slider-response","7","167092","0.0-5.0-1.2","63d7a9346e833b93500723d4","bdp_bc","Sun Mar 26 2023 09:10:28 GMT-0400 (Eastern Daylight Time)","235526","","2799","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","69","your closest friends","3/4 or 75%","","50"
"html-slider-response","8","170100","0.0-5.0-1.3","63d7a9346e833b93500723d4","bdp_bc","Sun Mar 26 2023 09:10:28 GMT-0400 (Eastern Daylight Time)","235526","","3007","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","79","complete strangers","2/3 or 67%","","50"
