"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"focus","0","0","focusevent","63ea5b93d1c6d38e1f57dcfa","bdp_bc","Sun Apr 09 2023 20:32:42 GMT-0400 (Eastern Daylight Time)","222073","","","","","","","","","","","","","",""
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_bc","Sun Apr 09 2023 20:32:42 GMT-0400 (Eastern Daylight Time)","222073","pavlovia","0","1","0.0-0.0","","","","","","","","","",""
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_bc","Sun Apr 09 2023 20:32:42 GMT-0400 (Eastern Daylight Time)","222073","instructions","1","1507","0.0-1.0","[{""page_index"":0,""viewing_time"":1505}]","1505","","","","","","","",""
"fullscreenexit","2","3030","fullscreenexit","63ea5b93d1c6d38e1f57dcfa","bdp_bc","Sun Apr 09 2023 20:32:42 GMT-0400 (Eastern Daylight Time)","222073","","","","","","","","","","","","","",""
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_bc","Sun Apr 09 2023 20:32:42 GMT-0400 (Eastern Daylight Time)","222073","fullscreen","2","3827","0.0-2.0","","","true","","","","","","",""
"","","","fullscreenfail","63ea5b93d1c6d38e1f57dcfa","bdp_bc","Sun Apr 09 2023 20:32:42 GMT-0400 (Eastern Daylight Time)","222073","image-keyboard-response","3","4496","0.0-3.0-0.0","","669","","","32","","","","",""
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_bc","Sun Apr 09 2023 20:32:42 GMT-0400 (Eastern Daylight Time)","222073","instructions","4","139331","0.0-4.0","[{""page_index"":0,""viewing_time"":14261},{""page_index"":1,""viewing_time"":29718},{""page_index"":0,""viewing_time"":17357},{""page_index"":1,""viewing_time"":13574},{""page_index"":2,""viewing_time"":16179},{""page_index"":3,""viewing_time"":9296},{""page_index"":4,""viewing_time"":4099},{""page_index"":3,""viewing_time"":793},{""page_index"":2,""viewing_time"":471},{""page_index"":3,""viewing_time"":5901},{""page_index"":4,""viewing_time"":5045},{""page_index"":5,""viewing_time"":4120},{""page_index"":6,""viewing_time"":2549},{""page_index"":7,""viewing_time"":11219}]","134583","","","","","","","",""
"","","","decision","63ea5b93d1c6d38e1f57dcfa","bdp_bc","Sun Apr 09 2023 20:32:42 GMT-0400 (Eastern Daylight Time)","222073","html-slider-response","5","148056","0.0-5.0-1.0","","8724","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","1","your high school classmates","1/2 or 50%","","50"
"","","","decision","63ea5b93d1c6d38e1f57dcfa","bdp_bc","Sun Apr 09 2023 20:32:42 GMT-0400 (Eastern Daylight Time)","222073","html-slider-response","6","154417","0.0-5.0-1.1","","6359","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","13","your closest friends","2/3 or 67%","","50"
"","","","decision","63ea5b93d1c6d38e1f57dcfa","bdp_bc","Sun Apr 09 2023 20:32:42 GMT-0400 (Eastern Daylight Time)","222073","html-slider-response","7","158171","0.0-5.0-1.2","","3754","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","9","your acquaintances","1/4 or 25%","","50"
"","","","decision","63ea5b93d1c6d38e1f57dcfa","bdp_bc","Sun Apr 09 2023 20:32:42 GMT-0400 (Eastern Daylight Time)","222073","html-slider-response","8","161915","0.0-5.0-1.3","","3742","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","15","other prolific workers","3/4 or 75%","","50"
"","","","decision","63ea5b93d1c6d38e1f57dcfa","bdp_bc","Sun Apr 09 2023 20:32:42 GMT-0400 (Eastern Daylight Time)","222073","html-slider-response","9","165166","0.0-5.0-1.4","","3251","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","8","complete strangers","1/3 or 33%","","50"
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_bc","Sun Apr 09 2023 20:32:42 GMT-0400 (Eastern Daylight Time)","222073","instructions","10","171934","0.0-6.0","[{""page_index"":0,""viewing_time"":6767}]","6767","","","","","","","",""
