"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","numBlurs","key_press"
"pavlovia","0","3","0.0-0.0","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","","","","","","","","","","","","","","",""
"instructions","1","903","0.0-1.0","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","[{""page_index"":0,""viewing_time"":900}]","900","","","","","","","","","","","","",""
"","","","","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","","","fullscreenenter","2","2486","fullscreenenter","","","","","","","","",""
"fullscreen","2","3475","0.0-2.0","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","","","","","","","true","","","","","","","",""
"instructions","3","8616","0.0-4.0","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","[{""page_index"":0,""viewing_time"":1527},{""page_index"":1,""viewing_time"":610},{""page_index"":2,""viewing_time"":683},{""page_index"":3,""viewing_time"":511},{""page_index"":4,""viewing_time"":408},{""page_index"":5,""viewing_time"":437},{""page_index"":6,""viewing_time"":419},{""page_index"":7,""viewing_time"":544}]","5140","","","","","","","","","","","","",""
"html-slider-response","4","20375","0.0-5.0-1.0","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","","11757","","","","decision","","61","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","1/2 or 50%","","50","",""
"html-slider-response","5","21850","0.0-5.0-1.1","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","","1473","","","","decision","","50","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","3/4 or 75%","","50","",""
"","","","","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","","","blur","6","23121","blurevent","","","","","","","","1",""
"","","","","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","","","focus","6","23508","focusevent","","","","","","","","",""
"","","","","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","","","blur","6","23724","blurevent","","","","","","","","",""
"","","","","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","","","focus","6","24012","focusevent","","","","","","","","",""
"html-slider-response","6","27212","0.0-5.0-1.2","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","","5360","blur","6","23121","decision","","74","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","1/4 or 25%","","50","1",""
"image-keyboard-response","7","30936","0.0-5.0-0.3-0.3","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","","3723","","","","blurwarn","","","","","","","","1","49"
"html-slider-response","8","35313","0.0-5.0-1.3","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","","4115","","","","decision","","25","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","1/3 or 33%","","50","",""
"html-slider-response","9","38031","0.0-5.0-1.4","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","","2717","","","","decision","","62","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","2/3 or 67%","","50","",""
"instructions","10","40612","0.0-6.0","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","[{""page_index"":0,""viewing_time"":2580}]","2580","","","","","","","","","","","","",""
"html-slider-response","11","50844","0.0-7.0-1.0","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","","10231","","","","simRating","","3","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your high school classmates","","","","",""
"html-slider-response","12","53500","0.0-7.0-1.1","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","","2654","","","","simRating","","6","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your closest friends","","","","",""
"html-slider-response","13","56723","0.0-7.0-1.2","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","","3222","","","","simRating","","4","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","other prolific workers","","","","",""
"html-slider-response","14","59039","0.0-7.0-1.3","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","","2316","","","","simRating","","5","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your acquaintances","","","","",""
"html-slider-response","15","63174","0.0-7.0-1.4","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","","4133","","","","simRating","","6","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","complete strangers","","","","",""
"instructions","16","64985","0.0-8.0","6400ea4cec0b310140841b2d","bdp_bc","Tue Mar 28 2023 10:55:29 GMT-0400 (Eastern Daylight Time)","81090","[{""page_index"":0,""viewing_time"":1810}]","1810","","","","","","","","","","","","",""
