"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","numBlurs","key_press"
"pavlovia","0","2","0.0-0.0","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","","","","","","","","","","","","","","",""
"instructions","1","2434","0.0-1.0","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","[{""page_index"":0,""viewing_time"":2432}]","2432","","","","","","","","","","","","",""
"","","","","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","","","fullscreenenter","2","4399","fullscreenenter","","","","","","","","",""
"","","","","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","","","fullscreenenter","2","4400","fullscreenenter","","","","","","","","",""
"fullscreen","2","5347","0.0-2.0","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","","","","","","","true","","","","","","","",""
"instructions","3","171160","0.0-4.0","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","[{""page_index"":0,""viewing_time"":64108},{""page_index"":1,""viewing_time"":21190},{""page_index"":2,""viewing_time"":23711},{""page_index"":3,""viewing_time"":21880},{""page_index"":4,""viewing_time"":11673},{""page_index"":5,""viewing_time"":4502},{""page_index"":6,""viewing_time"":1605},{""page_index"":7,""viewing_time"":17143}]","165813","","","","","","","","","","","","",""
"html-slider-response","4","193619","0.0-5.0-1.0","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","","22458","","","","decision","","11","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","2/3 or 67%","","50","",""
"html-slider-response","5","204633","0.0-5.0-1.1","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","","11013","","","","decision","","2","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","1/3 or 33%","","50","",""
"html-slider-response","6","219071","0.0-5.0-1.2","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","","14437","","","","decision","","26","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","1/2 or 50%","","50","",""
"html-slider-response","7","231024","0.0-5.0-1.3","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","","11952","","","","decision","","13","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","1/4 or 25%","","50","",""
"html-slider-response","8","242616","0.0-5.0-1.4","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","","11591","","","","decision","","40","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","3/4 or 75%","","50","",""
"instructions","9","251323","0.0-6.0","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","[{""page_index"":0,""viewing_time"":8707}]","8707","","","","","","","","","","","","",""
"html-slider-response","10","266639","0.0-7.0-1.0","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","","15316","","","","simRating","","3","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your high school classmates","","","","",""
"html-slider-response","11","274876","0.0-7.0-1.1","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","","8235","","","","simRating","","4","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your acquaintances","","","","",""
"html-slider-response","12","282908","0.0-7.0-1.2","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","","8031","","","","simRating","","2","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","complete strangers","","","","",""
"html-slider-response","13","289714","0.0-7.0-1.3","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","","6805","","","","simRating","","3","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","other prolific workers","","","","",""
"html-slider-response","14","295753","0.0-7.0-1.4","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","","6038","","","","simRating","","6","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your closest friends","","","","",""
"instructions","15","303289","0.0-8.0","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","[{""page_index"":0,""viewing_time"":7535}]","7535","","","","","","","","","","","","",""
"html-slider-response","16","314112","0.0-9.0-1.0","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","","10822","","","","abilRating","","5","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","complete strangers","","","","",""
"html-slider-response","17","318308","0.0-9.0-1.1","5f9873550513db147c9d2958","bdp_bc","Sat Mar 25 2023 22:13:38 GMT-0400 (Eastern Daylight Time)","337017","","4195","","","","abilRating","","6","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","other prolific workers","","","","",""
