"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"pavlovia","0","2","0.0-0.0","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","","","","","","","","","","","","","",""
"instructions","1","1918","0.0-1.0","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","[{""page_index"":0,""viewing_time"":1915}]","1916","","","","","","","","","","","","",""
"","","","","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","","fullscreenenter","2","4304","fullscreenenter","","","","","","","","",""
"fullscreen","2","5291","0.0-2.0","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","","","","","","true","","","","","","","",""
"","","","","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","","blur","3","152656","blurevent","","1","","","","","","",""
"","","","","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","","focus","3","167508","focusevent","","","","","","","","",""
"instructions","3","397659","0.0-4.0","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","[{""page_index"":0,""viewing_time"":75620},{""page_index"":1,""viewing_time"":128512},{""page_index"":2,""viewing_time"":35976},{""page_index"":3,""viewing_time"":104798},{""page_index"":4,""viewing_time"":2970},{""page_index"":5,""viewing_time"":19499},{""page_index"":6,""viewing_time"":3020},{""page_index"":7,""viewing_time"":21973}]","392368","","","","","","","","","","","","",""
"image-keyboard-response","4","401235","0.0-5.0-0.0-0.0","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","3574","","","","blurwarn","","1","","49","","","","",""
"html-slider-response","5","429710","0.0-5.0-1.0","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","28222","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","16","other prolific workers","1/3 or 33%","","50"
"html-slider-response","6","479063","0.0-5.0-1.1","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","49352","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","20","your closest friends","1/4 or 25%","","50"
