"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"pavlovia","0","4","0.0-0.0","63d82d20ed2b67b4f77f1fc7","bdp_bc","Mon Mar 27 2023 07:27:47 GMT-0700 (Pacific Daylight Time)","53875","","","","","","","","","","","","","",""
"instructions","1","1015","0.0-1.0","63d82d20ed2b67b4f77f1fc7","bdp_bc","Mon Mar 27 2023 07:27:47 GMT-0700 (Pacific Daylight Time)","53875","[{""page_index"":0,""viewing_time"":1011}]","1011","","","","","","","","","","","",""
"","","","","63d82d20ed2b67b4f77f1fc7","bdp_bc","Mon Mar 27 2023 07:27:47 GMT-0700 (Pacific Daylight Time)","53875","","","fullscreenenter","2","2607","fullscreenenter","","","","","","","",""
"","","","","63d82d20ed2b67b4f77f1fc7","bdp_bc","Mon Mar 27 2023 07:27:47 GMT-0700 (Pacific Daylight Time)","53875","","","fullscreenexit","2","3313","fullscreenexit","","","","","","","",""
"fullscreen","2","3608","0.0-2.0","63d82d20ed2b67b4f77f1fc7","bdp_bc","Mon Mar 27 2023 07:27:47 GMT-0700 (Pacific Daylight Time)","53875","","","","","","","true","","","","","","",""
"image-keyboard-response","3","4682","0.0-3.0-0.0","63d82d20ed2b67b4f77f1fc7","bdp_bc","Mon Mar 27 2023 07:27:47 GMT-0700 (Pacific Daylight Time)","53875","","1073","","","","fullscreenfail","","","32","","","","",""
"instructions","4","12636","0.0-4.0","63d82d20ed2b67b4f77f1fc7","bdp_bc","Mon Mar 27 2023 07:27:47 GMT-0700 (Pacific Daylight Time)","53875","[{""page_index"":0,""viewing_time"":848},{""page_index"":1,""viewing_time"":708},{""page_index"":2,""viewing_time"":1082},{""page_index"":3,""viewing_time"":1596},{""page_index"":4,""viewing_time"":1384},{""page_index"":5,""viewing_time"":663},{""page_index"":6,""viewing_time"":518},{""page_index"":7,""viewing_time"":900}]","7699","","","","","","","","","","","",""
"html-slider-response","5","19567","0.0-5.0-1.0","63d82d20ed2b67b4f77f1fc7","bdp_bc","Mon Mar 27 2023 07:27:47 GMT-0700 (Pacific Daylight Time)","53875","","6929","","","","decision","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","50","your high school classmates","1/3 or 33%","","50"
"html-slider-response","6","20580","0.0-5.0-1.1","63d82d20ed2b67b4f77f1fc7","bdp_bc","Mon Mar 27 2023 07:27:47 GMT-0700 (Pacific Daylight Time)","53875","","1010","","","","decision","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","50","other prolific workers","2/3 or 67%","","50"
"html-slider-response","7","21334","0.0-5.0-1.2","63d82d20ed2b67b4f77f1fc7","bdp_bc","Mon Mar 27 2023 07:27:47 GMT-0700 (Pacific Daylight Time)","53875","","752","","","","decision","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","50","your acquaintances","1/4 or 25%","","50"
"html-slider-response","8","21536","0.0-5.0-1.3","63d82d20ed2b67b4f77f1fc7","bdp_bc","Mon Mar 27 2023 07:27:47 GMT-0700 (Pacific Daylight Time)","53875","","202","","","","decision","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","50","your closest friends","1/2 or 50%","","50"
"html-slider-response","9","21750","0.0-5.0-1.4","63d82d20ed2b67b4f77f1fc7","bdp_bc","Mon Mar 27 2023 07:27:47 GMT-0700 (Pacific Daylight Time)","53875","","213","","","","decision","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","50","complete strangers","3/4 or 75%","","50"
