"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"focus","0","0","focusevent","6162341a644c08d5cca4b7bb","bdp_bc","Fri Mar 24 2023 20:17:04 GMT-0400 (Eastern Daylight Time)","97684","","","","","","","","","","","","","",""
"","","","","6162341a644c08d5cca4b7bb","bdp_bc","Fri Mar 24 2023 20:17:04 GMT-0400 (Eastern Daylight Time)","97684","pavlovia","0","1","0.0-0.0","","","","","","","","","",""
"","","","","6162341a644c08d5cca4b7bb","bdp_bc","Fri Mar 24 2023 20:17:04 GMT-0400 (Eastern Daylight Time)","97684","instructions","1","1941","0.0-1.0","[{""page_index"":0,""viewing_time"":1940}]","1940","","","","","","","",""
"fullscreenexit","2","3620","fullscreenexit","6162341a644c08d5cca4b7bb","bdp_bc","Fri Mar 24 2023 20:17:04 GMT-0400 (Eastern Daylight Time)","97684","","","","","","","","","","","","","",""
"","","","","6162341a644c08d5cca4b7bb","bdp_bc","Fri Mar 24 2023 20:17:04 GMT-0400 (Eastern Daylight Time)","97684","fullscreen","2","4394","0.0-2.0","","","true","","","","","","",""
"","","","fullscreenfail","6162341a644c08d5cca4b7bb","bdp_bc","Fri Mar 24 2023 20:17:04 GMT-0400 (Eastern Daylight Time)","97684","image-keyboard-response","3","5335","0.0-3.0-0.0","","941","","","32","","","","",""
"","","","","6162341a644c08d5cca4b7bb","bdp_bc","Fri Mar 24 2023 20:17:04 GMT-0400 (Eastern Daylight Time)","97684","instructions","4","27108","0.0-4.0","[{""page_index"":0,""viewing_time"":9782},{""page_index"":1,""viewing_time"":5453},{""page_index"":2,""viewing_time"":1677},{""page_index"":3,""viewing_time"":1770},{""page_index"":4,""viewing_time"":647},{""page_index"":5,""viewing_time"":487},{""page_index"":6,""viewing_time"":419},{""page_index"":7,""viewing_time"":1288}]","21523","","","","","","","",""
"","","","decision","6162341a644c08d5cca4b7bb","bdp_bc","Fri Mar 24 2023 20:17:04 GMT-0400 (Eastern Daylight Time)","97684","html-slider-response","5","40302","0.0-5.0-1.0","","13193","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","39","other prolific workers","2/3 or 67%","","50"
"","","","decision","6162341a644c08d5cca4b7bb","bdp_bc","Fri Mar 24 2023 20:17:04 GMT-0400 (Eastern Daylight Time)","97684","html-slider-response","6","46614","0.0-5.0-1.1","","6311","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","34","complete strangers","1/3 or 33%","","50"
"","","","decision","6162341a644c08d5cca4b7bb","bdp_bc","Fri Mar 24 2023 20:17:04 GMT-0400 (Eastern Daylight Time)","97684","html-slider-response","7","50380","0.0-5.0-1.2","","3765","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","50","your acquaintances","1/2 or 50%","","50"
