"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"focus","0","0","focusevent","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","","","","","","","","","","","","","",""
"","","","","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","pavlovia","0","2","0.0-0.0","","","","","","","","","",""
"","","","","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","instructions","1","733","0.0-1.0","[{""page_index"":0,""viewing_time"":731}]","731","","","","","","","",""
"fullscreenexit","2","1620","fullscreenexit","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","","","","","","","","","","","","","",""
"","","","","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","fullscreen","2","2380","0.0-2.0","","","true","","","","","","",""
"","","","fullscreenfail","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","image-keyboard-response","3","4078","0.0-3.0-0.0","","1696","","","32","","","","",""
"","","","","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","instructions","4","92409","0.0-4.0","[{""page_index"":0,""viewing_time"":27597},{""page_index"":1,""viewing_time"":28978},{""page_index"":2,""viewing_time"":10070},{""page_index"":3,""viewing_time"":3517},{""page_index"":4,""viewing_time"":2122},{""page_index"":5,""viewing_time"":4577},{""page_index"":6,""viewing_time"":2528},{""page_index"":7,""viewing_time"":8681}]","88071","","","","","","","",""
"","","","decision","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","html-slider-response","5","108567","0.0-5.0-1.0","","16156","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","11","other prolific workers","1/4 or 25%","","50"
"","","","decision","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","html-slider-response","6","120966","0.0-5.0-1.1","","12396","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","16","your closest friends","1/3 or 33%","","50"
"","","","decision","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","html-slider-response","7","127107","0.0-5.0-1.2","","6139","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","22","your high school classmates","1/2 or 50%","","50"
"","","","decision","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","html-slider-response","8","135833","0.0-5.0-1.3","","8725","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","33","your acquaintances","2/3 or 67%","","50"
"","","","decision","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","html-slider-response","9","141313","0.0-5.0-1.4","","5478","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","39","complete strangers","3/4 or 75%","","50"
"","","","","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","instructions","10","144813","0.0-6.0","[{""page_index"":0,""viewing_time"":3498}]","3498","","","","","","","",""
"","","","simRating","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","html-slider-response","11","150598","0.0-7.0-1.0","","5784","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","4","other prolific workers","","",""
"","","","simRating","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","html-slider-response","12","152594","0.0-7.0-1.1","","1995","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","6","your high school classmates","","",""
"","","","simRating","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","html-slider-response","13","156687","0.0-7.0-1.2","","4092","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","8","your closest friends","","",""
"","","","simRating","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","html-slider-response","14","159571","0.0-7.0-1.3","","2882","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","3","complete strangers","","",""
"","","","simRating","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","html-slider-response","15","161603","0.0-7.0-1.4","","2030","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","4","your acquaintances","","",""
"","","","","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","instructions","16","163671","0.0-8.0","[{""page_index"":0,""viewing_time"":2068}]","2068","","","","","","","",""
"","","","abilRating","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","html-slider-response","17","167772","0.0-9.0-1.0","","4100","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","7","your closest friends","","",""
"","","","abilRating","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","html-slider-response","18","170311","0.0-9.0-1.1","","2538","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","4","other prolific workers","","",""
"","","","abilRating","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","html-slider-response","19","173240","0.0-9.0-1.2","","2926","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","5","your acquaintances","","",""
"","","","abilRating","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","html-slider-response","20","176043","0.0-9.0-1.3","","2802","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","6","your high school classmates","","",""
"","","","abilRating","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","html-slider-response","21","177783","0.0-9.0-1.4","","1739","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","2","complete strangers","","",""
"fullscreenexit","22","178040","fullscreenexit","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","","","","","","","","","","","","","",""
"","","","","5d9303bbc400a90018821b13","bdp_bc","Sat Mar 25 2023 19:56:36 GMT-0400 (Eastern Daylight Time)","178789","fullscreen","22","178789","0.0-10.0","","","true","","","","","","",""
"","","","","","","","","html-keyboard-response","23","179303","0.0-11.0","","null","","","null","","","","",""
