"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","numBlurs","response","group","fraction","maxAmt","sliderStart"
"focus","0","0","focusevent","60fd80b85dd6b22f66d16822","bdp_bc","Sun Mar 26 2023 08:24:37 GMT-0500 (Central Daylight Time)","393292","","","","","","","","","","","","","","",""
"","","","","60fd80b85dd6b22f66d16822","bdp_bc","Sun Mar 26 2023 08:24:37 GMT-0500 (Central Daylight Time)","393292","pavlovia","0","5","0.0-0.0","","","","","","","","","","",""
"","","","","60fd80b85dd6b22f66d16822","bdp_bc","Sun Mar 26 2023 08:24:37 GMT-0500 (Central Daylight Time)","393292","instructions","1","1534","0.0-1.0","[{""page_index"":0,""viewing_time"":1528}]","1528","","","","","","","","",""
"fullscreenexit","2","3945","fullscreenexit","60fd80b85dd6b22f66d16822","bdp_bc","Sun Mar 26 2023 08:24:37 GMT-0500 (Central Daylight Time)","393292","","","","","","","","","","","","","","",""
"","","","","60fd80b85dd6b22f66d16822","bdp_bc","Sun Mar 26 2023 08:24:37 GMT-0500 (Central Daylight Time)","393292","fullscreen","2","4938","0.0-2.0","","","true","","","","","","","",""
"","","","fullscreenfail","60fd80b85dd6b22f66d16822","bdp_bc","Sun Mar 26 2023 08:24:37 GMT-0500 (Central Daylight Time)","393292","image-keyboard-response","3","10206","0.0-3.0-0.0","","5265","","","32","","","","","",""
"blur","4","129787","blurevent","60fd80b85dd6b22f66d16822","bdp_bc","Sun Mar 26 2023 08:24:37 GMT-0500 (Central Daylight Time)","393292","","","","","","","","","","1","","","","",""
"focus","4","130259","focusevent","60fd80b85dd6b22f66d16822","bdp_bc","Sun Mar 26 2023 08:24:37 GMT-0500 (Central Daylight Time)","393292","","","","","","","","","","","","","","",""
"","","","","60fd80b85dd6b22f66d16822","bdp_bc","Sun Mar 26 2023 08:24:37 GMT-0500 (Central Daylight Time)","393292","instructions","4","133548","0.0-4.0","[{""page_index"":0,""viewing_time"":20559},{""page_index"":1,""viewing_time"":51977},{""page_index"":2,""viewing_time"":18622},{""page_index"":3,""viewing_time"":7701},{""page_index"":4,""viewing_time"":3755},{""page_index"":5,""viewing_time"":6502},{""page_index"":6,""viewing_time"":4226},{""page_index"":7,""viewing_time"":9744}]","123086","","","","","","","","",""
"","","","blurwarn","60fd80b85dd6b22f66d16822","bdp_bc","Sun Mar 26 2023 08:24:37 GMT-0500 (Central Daylight Time)","393292","image-keyboard-response","5","145384","0.0-5.0-0.0-0.0","","11834","","","49","1","","","","",""
